normal_distribution seed=(1, 2) mean=(5, 20) standard_deviation=(1, 15) sample_size=1000
Burst Time = 5 Arrival Time = 15
Burst Time = 4 Arrival Time = 37
Burst Time = 6 Arrival Time = 25
Burst Time = 5 Arrival Time = 3
Burst Time = 5 Arrival Time = 26
Burst Time = 3 Arrival Time = 15
Burst Time = 5 Arrival Time = 58
Burst Time = 5 Arrival Time = 47
Burst Time = 4 Arrival Time = 26
Burst Time = 4 Arrival Time = 9
Burst Time = 5 Arrival Time = 11
Burst Time = 3 Arrival Time = 15
Burst Time = 5 Arrival Time = 11
Burst Time = 5 Arrival Time = 6
Burst Time = 4 Arrival Time = 11
Burst Time = 5 Arrival Time = 15
Burst Time = 3 Arrival Time = 12
Burst Time = 4 Arrival Time = 9
Burst Time = 3 Arrival Time = 6
Burst Time = 6 Arrival Time = 58
Burst Time = 5 Arrival Time = 2
Burst Time = 4 Arrival Time = 4
Burst Time = 4 Arrival Time = 26
Burst Time = 6 Arrival Time = 15
Burst Time = 6 Arrival Time = 26
Burst Time = 3 Arrival Time = 31
Burst Time = 6 Arrival Time = 38
Burst Time = 6 Arrival Time = 31
Burst Time = 5 Arrival Time = 5
Burst Time = 3 Arrival Time = 36
Burst Time = 5 Arrival Time = 6
Burst Time = 4 Arrival Time = 18
Burst Time = 4 Arrival Time = 12
Burst Time = 3 Arrival Time = 4
Burst Time = 5 Arrival Time = 28
Burst Time = 5 Arrival Time = 17
Burst Time = 4 Arrival Time = 35
Burst Time = 5 Arrival Time = 2
Burst Time = 3 Arrival Time = 32
Burst Time = 5 Arrival Time = 27
Burst Time = 5 Arrival Time = 21
Burst Time = 4 Arrival Time = 1
Burst Time = 4 Arrival Time = 16
Burst Time = 5 Arrival Time = 3
Burst Time = 5 Arrival Time = 11
Burst Time = 5 Arrival Time = 69
Burst Time = 5 Arrival Time = 34
Burst Time = 5 Arrival Time = 46
Burst Time = 5 Arrival Time = 13
Burst Time = 5 Arrival Time = 30
Burst Time = 5 Arrival Time = 30
Burst Time = 4 Arrival Time = 29
Burst Time = 2 Arrival Time = 20
Burst Time = 6 Arrival Time = 16
Burst Time = 7 Arrival Time = 11
Burst Time = 5 Arrival Time = 29
Burst Time = 4 Arrival Time = 26
Burst Time = 4 Arrival Time = 36
Burst Time = 4 Arrival Time = 15
Burst Time = 5 Arrival Time = 46
Burst Time = 3 Arrival Time = 13
Burst Time = 4 Arrival Time = 1
Burst Time = 4 Arrival Time = 34
Burst Time = 5 Arrival Time = 12
Burst Time = 4 Arrival Time = 1
Burst Time = 5 Arrival Time = 21
Burst Time = 4 Arrival Time = 31
Burst Time = 5 Arrival Time = 23
Burst Time = 5 Arrival Time = 27
Burst Time = 7 Arrival Time = 81
Burst Time = 3 Arrival Time = 32
Burst Time = 4 Arrival Time = 42
Burst Time = 5 Arrival Time = 9
Burst Time = 7 Arrival Time = 25
Burst Time = 4 Arrival Time = 31
Burst Time = 5 Arrival Time = 14
Burst Time = 4 Arrival Time = 6
Burst Time = 6 Arrival Time = 25
Burst Time = 4 Arrival Time = 15
Burst Time = 5 Arrival Time = 11
Burst Time = 4 Arrival Time = 37
Burst Time = 3 Arrival Time = 40
Burst Time = 5 Arrival Time = 24
Burst Time = 5 Arrival Time = 13
Burst Time = 6 Arrival Time = 27
Burst Time = 4 Arrival Time = 32
Burst Time = 4 Arrival Time = 29
Burst Time = 5 Arrival Time = 1
Burst Time = 5 Arrival Time = 14
Burst Time = 5 Arrival Time = 25
Burst Time = 4 Arrival Time = 29
Burst Time = 6 Arrival Time = 34
Burst Time = 5 Arrival Time = 31
Burst Time = 6 Arrival Time = 2
Burst Time = 6 Arrival Time = 9
Burst Time = 5 Arrival Time = 1
Burst Time = 3 Arrival Time = 47
Burst Time = 5 Arrival Time = 22
Burst Time = 5 Arrival Time = 28
Burst Time = 5 Arrival Time = 35
Burst Time = 6 Arrival Time = 15
Burst Time = 4 Arrival Time = 2
Burst Time = 5 Arrival Time = 13
Burst Time = 4 Arrival Time = 17
Burst Time = 6 Arrival Time = 42
Burst Time = 3 Arrival Time = 33
Burst Time = 3 Arrival Time = 3
Burst Time = 3 Arrival Time = 29
Burst Time = 4 Arrival Time = 31
Burst Time = 3 Arrival Time = 4
Burst Time = 6 Arrival Time = 18
Burst Time = 4 Arrival Time = 7
Burst Time = 3 Arrival Time = 24
Burst Time = 6 Arrival Time = 15
Burst Time = 4 Arrival Time = 0
Burst Time = 3 Arrival Time = 9
Burst Time = 5 Arrival Time = 23
Burst Time = 5 Arrival Time = 11
Burst Time = 4 Arrival Time = 24
Burst Time = 6 Arrival Time = 28
Burst Time = 5 Arrival Time = 7
Burst Time = 6 Arrival Time = 15
Burst Time = 5 Arrival Time = 52
Burst Time = 6 Arrival Time = 21
Burst Time = 5 Arrival Time = 7
Burst Time = 3 Arrival Time = 20
Burst Time = 7 Arrival Time = 0
Burst Time = 4 Arrival Time = 36
Burst Time = 4 Arrival Time = 25
Burst Time = 4 Arrival Time = 36
Burst Time = 4 Arrival Time = 33
Burst Time = 5 Arrival Time = 25
Burst Time = 5 Arrival Time = 34
Burst Time = 5 Arrival Time = 22
Burst Time = 6 Arrival Time = 10
Burst Time = 4 Arrival Time = 4
Burst Time = 3 Arrival Time = 13
Burst Time = 3 Arrival Time = 17
Burst Time = 4 Arrival Time = 47
Burst Time = 3 Arrival Time = 5
Burst Time = 5 Arrival Time = 18
Burst Time = 4 Arrival Time = 0
Burst Time = 4 Arrival Time = 10
Burst Time = 4 Arrival Time = 18
Burst Time = 3 Arrival Time = 15
Burst Time = 4 Arrival Time = 17
Burst Time = 5 Arrival Time = 28
Burst Time = 5 Arrival Time = 10
Burst Time = 4 Arrival Time = 25
Burst Time = 6 Arrival Time = 27
Burst Time = 3 Arrival Time = 14
Burst Time = 4 Arrival Time = 15
Burst Time = 4 Arrival Time = 28
Burst Time = 2 Arrival Time = 20
Burst Time = 6 Arrival Time = 22
Burst Time = 5 Arrival Time = 15
Burst Time = 3 Arrival Time = 20
Burst Time = 7 Arrival Time = 25
Burst Time = 5 Arrival Time = 17
Burst Time = 5 Arrival Time = 25
Burst Time = 4 Arrival Time = 48
Burst Time = 5 Arrival Time = 21
Burst Time = 3 Arrival Time = 29
Burst Time = 5 Arrival Time = 7
Burst Time = 4 Arrival Time = 7
Burst Time = 5 Arrival Time = 12
Burst Time = 6 Arrival Time = 4
Burst Time = 5 Arrival Time = 19
Burst Time = 5 Arrival Time = 5
Burst Time = 5 Arrival Time = 17
Burst Time = 4 Arrival Time = 1
Burst Time = 5 Arrival Time = 4
Burst Time = 6 Arrival Time = 9
Burst Time = 5 Arrival Time = 3
Burst Time = 5 Arrival Time = 10
Burst Time = 4 Arrival Time = 10
Burst Time = 4 Arrival Time = 14
Burst Time = 3 Arrival Time = 35
Burst Time = 6 Arrival Time = 40
Burst Time = 4 Arrival Time = 30
Burst Time = 6 Arrival Time = 14
Burst Time = 4 Arrival Time = 42
Burst Time = 4 Arrival Time = 2
Burst Time = 5 Arrival Time = 10
Burst Time = 5 Arrival Time = 24
Burst Time = 5 Arrival Time = 19
Burst Time = 5 Arrival Time = 17
Burst Time = 5 Arrival Time = 20
Burst Time = 5 Arrival Time = 4
Burst Time = 3 Arrival Time = 2
Burst Time = 5 Arrival Time = 38
Burst Time = 4 Arrival Time = 35
Burst Time = 4 Arrival Time = 9
Burst Time = 5 Arrival Time = 48
Burst Time = 4 Arrival Time = 3
Burst Time = 4 Arrival Time = 11
Burst Time = 4 Arrival Time = 24
Burst Time = 5 Arrival Time = 2
Burst Time = 5 Arrival Time = 12
Burst Time = 4 Arrival Time = 17
Burst Time = 5 Arrival Time = 14
Burst Time = 7 Arrival Time = 33
Burst Time = 3 Arrival Time = 28
Burst Time = 4 Arrival Time = 3
Burst Time = 4 Arrival Time = 9
Burst Time = 4 Arrival Time = 22
Burst Time = 6 Arrival Time = 18
Burst Time = 5 Arrival Time = 8
Burst Time = 4 Arrival Time = 26
Burst Time = 5 Arrival Time = 32
Burst Time = 4 Arrival Time = 10
Burst Time = 6 Arrival Time = 31
Burst Time = 5 Arrival Time = 4
Burst Time = 6 Arrival Time = 4
Burst Time = 4 Arrival Time = 27
Burst Time = 8 Arrival Time = 7
Burst Time = 5 Arrival Time = 5
Burst Time = 5 Arrival Time = 16
Burst Time = 4 Arrival Time = 9
Burst Time = 4 Arrival Time = 24
Burst Time = 4 Arrival Time = 1
Burst Time = 4 Arrival Time = 14
Burst Time = 4 Arrival Time = 67
Burst Time = 5 Arrival Time = 21
Burst Time = 4 Arrival Time = 8
Burst Time = 5 Arrival Time = 28
Burst Time = 5 Arrival Time = 28
Burst Time = 4 Arrival Time = 40
Burst Time = 6 Arrival Time = 22
Burst Time = 4 Arrival Time = 10
Burst Time = 6 Arrival Time = 41
Burst Time = 5 Arrival Time = 30
Burst Time = 6 Arrival Time = 7
Burst Time = 4 Arrival Time = 31
Burst Time = 4 Arrival Time = 16
Burst Time = 6 Arrival Time = 36
Burst Time = 4 Arrival Time = 14
Burst Time = 2 Arrival Time = 31
Burst Time = 3 Arrival Time = 22
Burst Time = 2 Arrival Time = 28
Burst Time = 2 Arrival Time = 19
Burst Time = 4 Arrival Time = 13
Burst Time = 6 Arrival Time = 21
Burst Time = 4 Arrival Time = 29
Burst Time = 5 Arrival Time = 26
Burst Time = 4 Arrival Time = 44
Burst Time = 5 Arrival Time = 26
Burst Time = 4 Arrival Time = 29
Burst Time = 4 Arrival Time = 51
Burst Time = 5 Arrival Time = 20
Burst Time = 3 Arrival Time = 28
Burst Time = 6 Arrival Time = 10
Burst Time = 5 Arrival Time = 20
Burst Time = 4 Arrival Time = 44
Burst Time = 5 Arrival Time = 24
Burst Time = 4 Arrival Time = 41
Burst Time = 4 Arrival Time = 4
Burst Time = 5 Arrival Time = 1
Burst Time = 4 Arrival Time = 24
Burst Time = 4 Arrival Time = 0
Burst Time = 4 Arrival Time = 60
Burst Time = 4 Arrival Time = 38
Burst Time = 5 Arrival Time = 1
Burst Time = 3 Arrival Time = 17
Burst Time = 5 Arrival Time = 11
Burst Time = 4 Arrival Time = 26
Burst Time = 5 Arrival Time = 19
Burst Time = 5 Arrival Time = 33
Burst Time = 2 Arrival Time = 42
Burst Time = 5 Arrival Time = 16
Burst Time = 5 Arrival Time = 2
Burst Time = 5 Arrival Time = 28
Burst Time = 4 Arrival Time = 17
Burst Time = 5 Arrival Time = 37
Burst Time = 4 Arrival Time = 17
Burst Time = 6 Arrival Time = 32
Burst Time = 5 Arrival Time = 25
Burst Time = 7 Arrival Time = 17
Burst Time = 4 Arrival Time = 13
Burst Time = 3 Arrival Time = 30
Burst Time = 5 Arrival Time = 57
Burst Time = 5 Arrival Time = 32
Burst Time = 5 Arrival Time = 18
Burst Time = 3 Arrival Time = 30
Burst Time = 4 Arrival Time = 21
Burst Time = 5 Arrival Time = 0
Burst Time = 4 Arrival Time = 24
Burst Time = 4 Arrival Time = 43
Burst Time = 4 Arrival Time = 15
Burst Time = 4 Arrival Time = 3
Burst Time = 4 Arrival Time = 27
Burst Time = 3 Arrival Time = 47
Burst Time = 6 Arrival Time = 34
Burst Time = 4 Arrival Time = 35
Burst Time = 5 Arrival Time = 54
Burst Time = 3 Arrival Time = 44
Burst Time = 5 Arrival Time = 30
Burst Time = 3 Arrival Time = 16
Burst Time = 5 Arrival Time = 22
Burst Time = 4 Arrival Time = 18
Burst Time = 7 Arrival Time = 32
Burst Time = 3 Arrival Time = 6
Burst Time = 5 Arrival Time = 43
Burst Time = 5 Arrival Time = 22
Burst Time = 6 Arrival Time = 13
Burst Time = 4 Arrival Time = 32
Burst Time = 5 Arrival Time = 11
Burst Time = 2 Arrival Time = 7
Burst Time = 4 Arrival Time = 10
Burst Time = 5 Arrival Time = 32
Burst Time = 6 Arrival Time = 12
Burst Time = 4 Arrival Time = 41
Burst Time = 7 Arrival Time = 13
Burst Time = 6 Arrival Time = 27
Burst Time = 4 Arrival Time = 9
Burst Time = 2 Arrival Time = 37
Burst Time = 3 Arrival Time = 16
Burst Time = 4 Arrival Time = 27
Burst Time = 6 Arrival Time = 12
Burst Time = 5 Arrival Time = 3
Burst Time = 2 Arrival Time = 16
Burst Time = 4 Arrival Time = 36
Burst Time = 6 Arrival Time = 4
Burst Time = 4 Arrival Time = 2
Burst Time = 4 Arrival Time = 15
Burst Time = 7 Arrival Time = 31
Burst Time = 5 Arrival Time = 4
Burst Time = 4 Arrival Time = 11
Burst Time = 5 Arrival Time = 22
Burst Time = 5 Arrival Time = 15
Burst Time = 4 Arrival Time = 24
Burst Time = 6 Arrival Time = 37
Burst Time = 6 Arrival Time = 20
Burst Time = 5 Arrival Time = 19
Burst Time = 4 Arrival Time = 31
Burst Time = 6 Arrival Time = 19
Burst Time = 4 Arrival Time = 5
Burst Time = 5 Arrival Time = 4
Burst Time = 6 Arrival Time = 3
Burst Time = 5 Arrival Time = 48
Burst Time = 6 Arrival Time = 19
Burst Time = 5 Arrival Time = 28
Burst Time = 3 Arrival Time = 30
Burst Time = 3 Arrival Time = 5
Burst Time = 6 Arrival Time = 29
Burst Time = 4 Arrival Time = 11
Burst Time = 5 Arrival Time = 11
Burst Time = 4 Arrival Time = 16
Burst Time = 6 Arrival Time = 3
Burst Time = 4 Arrival Time = 14
Burst Time = 6 Arrival Time = 25
Burst Time = 4 Arrival Time = 54
Burst Time = 6 Arrival Time = 12
Burst Time = 5 Arrival Time = 17
Burst Time = 4 Arrival Time = 25
Burst Time = 6 Arrival Time = 22
Burst Time = 4 Arrival Time = 17
Burst Time = 4 Arrival Time = 3
Burst Time = 5 Arrival Time = 5
Burst Time = 4 Arrival Time = 17
Burst Time = 4 Arrival Time = 2
Burst Time = 4 Arrival Time = 10
Burst Time = 3 Arrival Time = 1
Burst Time = 6 Arrival Time = 36
Burst Time = 5 Arrival Time = 2
Burst Time = 4 Arrival Time = 48
Burst Time = 4 Arrival Time = 11
Burst Time = 5 Arrival Time = 4
Burst Time = 6 Arrival Time = 2
Burst Time = 5 Arrival Time = 31
Burst Time = 4 Arrival Time = 35
Burst Time = 5 Arrival Time = 7
Burst Time = 4 Arrival Time = 24
Burst Time = 4 Arrival Time = 17
Burst Time = 6 Arrival Time = 16
Burst Time = 4 Arrival Time = 22
Burst Time = 4 Arrival Time = 31
Burst Time = 3 Arrival Time = 8
Burst Time = 3 Arrival Time = 13
Burst Time = 5 Arrival Time = 23
Burst Time = 4 Arrival Time = 18
Burst Time = 5 Arrival Time = 30
Burst Time = 3 Arrival Time = 5
Burst Time = 4 Arrival Time = 5
Burst Time = 5 Arrival Time = 43
Burst Time = 6 Arrival Time = 0
Burst Time = 5 Arrival Time = 25
Burst Time = 6 Arrival Time = 8
Burst Time = 6 Arrival Time = 13
Burst Time = 6 Arrival Time = 0
Burst Time = 4 Arrival Time = 37
Burst Time = 4 Arrival Time = 8
Burst Time = 5 Arrival Time = 2
Burst Time = 4 Arrival Time = 6
Burst Time = 5 Arrival Time = 37
Burst Time = 3 Arrival Time = 24
Burst Time = 4 Arrival Time = 30
Burst Time = 5 Arrival Time = 19
Burst Time = 2 Arrival Time = 23
Burst Time = 3 Arrival Time = 27
Burst Time = 4 Arrival Time = 43
Burst Time = 3 Arrival Time = 23
Burst Time = 5 Arrival Time = 2
Burst Time = 4 Arrival Time = 37
Burst Time = 4 Arrival Time = 21
Burst Time = 4 Arrival Time = 3
Burst Time = 5 Arrival Time = 17
Burst Time = 4 Arrival Time = 5
Burst Time = 5 Arrival Time = 51
Burst Time = 4 Arrival Time = 14
Burst Time = 5 Arrival Time = 10
Burst Time = 6 Arrival Time = 24
Burst Time = 5 Arrival Time = 7
Burst Time = 5 Arrival Time = 39
Burst Time = 3 Arrival Time = 22
Burst Time = 5 Arrival Time = 6
Burst Time = 4 Arrival Time = 12
Burst Time = 4 Arrival Time = 3
Burst Time = 5 Arrival Time = 8
Burst Time = 5 Arrival Time = 10
Burst Time = 6 Arrival Time = 10
Burst Time = 6 Arrival Time = 22
Burst Time = 4 Arrival Time = 6
Burst Time = 5 Arrival Time = 6
Burst Time = 6 Arrival Time = 31
Burst Time = 5 Arrival Time = 48
Burst Time = 5 Arrival Time = 10
Burst Time = 6 Arrival Time = 47
Burst Time = 4 Arrival Time = 10
Burst Time = 5 Arrival Time = 28
Burst Time = 6 Arrival Time = 11
Burst Time = 6 Arrival Time = 18
Burst Time = 4 Arrival Time = 5
Burst Time = 4 Arrival Time = 11
Burst Time = 5 Arrival Time = 15
Burst Time = 4 Arrival Time = 14
Burst Time = 4 Arrival Time = 26
Burst Time = 5 Arrival Time = 54
Burst Time = 4 Arrival Time = 10
Burst Time = 3 Arrival Time = 17
Burst Time = 5 Arrival Time = 6
Burst Time = 4 Arrival Time = 17
Burst Time = 4 Arrival Time = 40
Burst Time = 3 Arrival Time = 0
Burst Time = 6 Arrival Time = 8
Burst Time = 2 Arrival Time = 20
Burst Time = 3 Arrival Time = 33
Burst Time = 4 Arrival Time = 24
Burst Time = 6 Arrival Time = 47
Burst Time = 6 Arrival Time = 17
Burst Time = 3 Arrival Time = 7
Burst Time = 4 Arrival Time = 22
Burst Time = 3 Arrival Time = 21
Burst Time = 6 Arrival Time = 7
Burst Time = 3 Arrival Time = 15
Burst Time = 4 Arrival Time = 11
Burst Time = 6 Arrival Time = 46
Burst Time = 4 Arrival Time = 10
Burst Time = 6 Arrival Time = 0
Burst Time = 4 Arrival Time = 24
Burst Time = 5 Arrival Time = 7
Burst Time = 5 Arrival Time = 26
Burst Time = 4 Arrival Time = 26
Burst Time = 6 Arrival Time = 7
Burst Time = 5 Arrival Time = 11
Burst Time = 3 Arrival Time = 10
Burst Time = 8 Arrival Time = 44
Burst Time = 5 Arrival Time = 25
Burst Time = 5 Arrival Time = 1
Burst Time = 3 Arrival Time = 1
Burst Time = 5 Arrival Time = 18
Burst Time = 4 Arrival Time = 19
Burst Time = 5 Arrival Time = 8
Burst Time = 5 Arrival Time = 24
Burst Time = 6 Arrival Time = 17
Burst Time = 5 Arrival Time = 36
Burst Time = 5 Arrival Time = 26
Burst Time = 5 Arrival Time = 18
Burst Time = 4 Arrival Time = 22
Burst Time = 4 Arrival Time = 6
Burst Time = 6 Arrival Time = 33
Burst Time = 5 Arrival Time = 25
Burst Time = 4 Arrival Time = 13
Burst Time = 3 Arrival Time = 21
Burst Time = 4 Arrival Time = 11
Burst Time = 6 Arrival Time = 57
Burst Time = 4 Arrival Time = 13
Burst Time = 6 Arrival Time = 27
Burst Time = 4 Arrival Time = 25
Burst Time = 5 Arrival Time = 8
Burst Time = 2 Arrival Time = 20
Burst Time = 4 Arrival Time = 15
Burst Time = 4 Arrival Time = 23
Burst Time = 5 Arrival Time = 23
Burst Time = 6 Arrival Time = 31
Burst Time = 5 Arrival Time = 31
Burst Time = 6 Arrival Time = 13
Burst Time = 5 Arrival Time = 12
Burst Time = 5 Arrival Time = 11
Burst Time = 4 Arrival Time = 7
Burst Time = 6 Arrival Time = 6
Burst Time = 3 Arrival Time = 29
Burst Time = 5 Arrival Time = 18
Burst Time = 4 Arrival Time = 16
Burst Time = 4 Arrival Time = 4
Burst Time = 3 Arrival Time = 2
Burst Time = 4 Arrival Time = 17
Burst Time = 5 Arrival Time = 18
Burst Time = 4 Arrival Time = 30
Burst Time = 3 Arrival Time = 28
Burst Time = 6 Arrival Time = 18
Burst Time = 5 Arrival Time = 3
Burst Time = 6 Arrival Time = 19
Burst Time = 5 Arrival Time = 20
Burst Time = 4 Arrival Time = 30
Burst Time = 3 Arrival Time = 31
Burst Time = 4 Arrival Time = 16
Burst Time = 6 Arrival Time = 19
Burst Time = 3 Arrival Time = 30
Burst Time = 5 Arrival Time = 26
Burst Time = 4 Arrival Time = 17
Burst Time = 5 Arrival Time = 12
Burst Time = 3 Arrival Time = 10
Burst Time = 6 Arrival Time = 32
Burst Time = 4 Arrival Time = 22
Burst Time = 5 Arrival Time = 34
Burst Time = 5 Arrival Time = 14
Burst Time = 5 Arrival Time = 21
Burst Time = 4 Arrival Time = 31
Burst Time = 5 Arrival Time = 30
Burst Time = 3 Arrival Time = 25
Burst Time = 3 Arrival Time = 36
Burst Time = 5 Arrival Time = 40
Burst Time = 4 Arrival Time = 40
Burst Time = 4 Arrival Time = 4
Burst Time = 4 Arrival Time = 12
Burst Time = 5 Arrival Time = 15
Burst Time = 4 Arrival Time = 14
Burst Time = 5 Arrival Time = 4
Burst Time = 4 Arrival Time = 39
Burst Time = 4 Arrival Time = 4
Burst Time = 5 Arrival Time = 21
Burst Time = 6 Arrival Time = 16
Burst Time = 3 Arrival Time = 12
Burst Time = 5 Arrival Time = 16
Burst Time = 3 Arrival Time = 5
Burst Time = 5 Arrival Time = 31
Burst Time = 3 Arrival Time = 55
Burst Time = 3 Arrival Time = 6
Burst Time = 4 Arrival Time = 7
Burst Time = 4 Arrival Time = 46
Burst Time = 6 Arrival Time = 28
Burst Time = 5 Arrival Time = 15
Burst Time = 6 Arrival Time = 0
Burst Time = 6 Arrival Time = 30
Burst Time = 4 Arrival Time = 23
Burst Time = 4 Arrival Time = 43
Burst Time = 6 Arrival Time = 6
Burst Time = 5 Arrival Time = 17
Burst Time = 4 Arrival Time = 15
Burst Time = 3 Arrival Time = 16
Burst Time = 4 Arrival Time = 35
Burst Time = 2 Arrival Time = 32
Burst Time = 4 Arrival Time = 10
Burst Time = 4 Arrival Time = 18
Burst Time = 5 Arrival Time = 16
Burst Time = 4 Arrival Time = 33
Burst Time = 4 Arrival Time = 17
Burst Time = 6 Arrival Time = 3
Burst Time = 3 Arrival Time = 14
Burst Time = 5 Arrival Time = 19
Burst Time = 3 Arrival Time = 33
Burst Time = 5 Arrival Time = 39
Burst Time = 5 Arrival Time = 39
Burst Time = 5 Arrival Time = 25
Burst Time = 4 Arrival Time = 12
Burst Time = 5 Arrival Time = 28
Burst Time = 5 Arrival Time = 17
Burst Time = 4 Arrival Time = 10
Burst Time = 5 Arrival Time = 24
Burst Time = 5 Arrival Time = 26
Burst Time = 5 Arrival Time = 32
Burst Time = 4 Arrival Time = 6
Burst Time = 3 Arrival Time = 5
Burst Time = 7 Arrival Time = 27
Burst Time = 6 Arrival Time = 5
Burst Time = 3 Arrival Time = 34
Burst Time = 5 Arrival Time = 3
Burst Time = 5 Arrival Time = 11
Burst Time = 5 Arrival Time = 7
Burst Time = 5 Arrival Time = 50
Burst Time = 4 Arrival Time = 12
Burst Time = 4 Arrival Time = 18
Burst Time = 4 Arrival Time = 11
Burst Time = 5 Arrival Time = 16
Burst Time = 4 Arrival Time = 32
Burst Time = 4 Arrival Time = 21
Burst Time = 6 Arrival Time = 19
Burst Time = 6 Arrival Time = 37
Burst Time = 3 Arrival Time = 0
Burst Time = 4 Arrival Time = 36
Burst Time = 4 Arrival Time = 43
Burst Time = 6 Arrival Time = 1
Burst Time = 4 Arrival Time = 23
Burst Time = 6 Arrival Time = 0
Burst Time = 4 Arrival Time = 11
Burst Time = 5 Arrival Time = 6
Burst Time = 3 Arrival Time = 27
Burst Time = 6 Arrival Time = 31
Burst Time = 4 Arrival Time = 14
Burst Time = 3 Arrival Time = 6
Burst Time = 4 Arrival Time = 13
Burst Time = 2 Arrival Time = 8
Burst Time = 4 Arrival Time = 10
Burst Time = 5 Arrival Time = 16
Burst Time = 5 Arrival Time = 16
Burst Time = 6 Arrival Time = 17
Burst Time = 4 Arrival Time = 52
Burst Time = 5 Arrival Time = 29
Burst Time = 5 Arrival Time = 17
Burst Time = 4 Arrival Time = 20
Burst Time = 2 Arrival Time = 24
Burst Time = 5 Arrival Time = 9
Burst Time = 4 Arrival Time = 11
Burst Time = 5 Arrival Time = 8
Burst Time = 3 Arrival Time = 16
Burst Time = 5 Arrival Time = 21
Burst Time = 5 Arrival Time = 8
Burst Time = 5 Arrival Time = 5
Burst Time = 4 Arrival Time = 15
Burst Time = 6 Arrival Time = 20
Burst Time = 5 Arrival Time = 28
