# seed = 1 mean = 50 standard_deviation = 1 number_of_pages = 300
Capacity of LRU = 90
------------------------------------------------------------
Page Faults = 6
Page Hits = 294
------------------------------------------------------------
[51] <-- Page - 51 | Page Fault Here
[51, 49] <-- Page - 49 | Page Fault Here
[51, 49] <-- Page - 49
[51, 49, 48] <-- Page - 48 | Page Fault Here
[51, 49, 48, 50] <-- Page - 50 | Page Fault Here
[51, 49, 48, 50, 47] <-- Page - 47 | Page Fault Here
[49, 48, 50, 47, 51] <-- Page - 51
[48, 50, 47, 51, 49] <-- Page - 49
[48, 47, 51, 49, 50] <-- Page - 50
[48, 47, 51, 50, 49] <-- Page - 49
[48, 47, 50, 49, 51] <-- Page - 51
[48, 50, 49, 51, 47] <-- Page - 47
[48, 50, 51, 47, 49] <-- Page - 49
[48, 50, 51, 47, 49] <-- Page - 49
[48, 50, 47, 49, 51] <-- Page - 51
[50, 47, 49, 51, 48] <-- Page - 48
[50, 47, 51, 48, 49] <-- Page - 49
[50, 47, 51, 48, 49] <-- Page - 49
[47, 51, 48, 49, 50] <-- Page - 50
[47, 51, 48, 49, 50] <-- Page - 50
[47, 51, 49, 50, 48] <-- Page - 48
[47, 49, 50, 48, 51] <-- Page - 51
[47, 49, 48, 51, 50] <-- Page - 50
[47, 49, 48, 51, 50] <-- Page - 50
[47, 49, 48, 51, 50] <-- Page - 50
[47, 48, 51, 50, 49] <-- Page - 49
[47, 48, 51, 50, 49] <-- Page - 49
[47, 48, 51, 50, 49] <-- Page - 49
[47, 48, 51, 50, 49] <-- Page - 49
[47, 48, 51, 49, 50] <-- Page - 50
[47, 48, 51, 50, 49] <-- Page - 49
[47, 48, 51, 50, 49] <-- Page - 49
[47, 48, 51, 50, 49] <-- Page - 49
[47, 48, 51, 50, 49] <-- Page - 49
[47, 48, 51, 50, 49] <-- Page - 49
[47, 48, 51, 50, 49] <-- Page - 49
[47, 51, 50, 49, 48] <-- Page - 48
[47, 51, 49, 48, 50] <-- Page - 50
[47, 49, 48, 50, 51] <-- Page - 51
[47, 49, 48, 51, 50] <-- Page - 50
[47, 48, 51, 50, 49] <-- Page - 49
[47, 48, 51, 50, 49] <-- Page - 49
[47, 48, 51, 50, 49] <-- Page - 49
[47, 48, 50, 49, 51] <-- Page - 51
[47, 48, 49, 51, 50] <-- Page - 50
[47, 48, 51, 50, 49] <-- Page - 49
[47, 48, 51, 49, 50] <-- Page - 50
[52, 48, 47, 51, 49, 50] <-- Page - 50
[52, 48, 47, 51, 50, 49] <-- Page - 49
[52, 48, 47, 51, 49, 50] <-- Page - 50
[52, 48, 47, 51, 50, 49] <-- Page - 49
[52, 48, 47, 50, 49, 51] <-- Page - 51
[52, 48, 47, 49, 51, 50] <-- Page - 50
[52, 48, 47, 49, 51, 50] <-- Page - 50
[52, 47, 49, 51, 50, 48] <-- Page - 48
[52, 47, 49, 51, 48, 50] <-- Page - 50
[52, 47, 49, 51, 48, 50] <-- Page - 50
[52, 47, 51, 48, 50, 49] <-- Page - 49
[52, 47, 51, 48, 50, 49] <-- Page - 49
[52, 47, 51, 48, 49, 50] <-- Page - 50
[52, 47, 51, 49, 50, 48] <-- Page - 48
[52, 47, 51, 49, 48, 50] <-- Page - 50
[52, 47, 51, 49, 48, 50] <-- Page - 50
[52, 47, 51, 48, 50, 49] <-- Page - 49
[52, 47, 51, 48, 49, 50] <-- Page - 50
[52, 47, 51, 49, 50, 48] <-- Page - 48
[52, 47, 51, 50, 48, 49] <-- Page - 49
[52, 47, 51, 50, 49, 48] <-- Page - 48
[52, 47, 50, 49, 48, 51] <-- Page - 51
[52, 47, 49, 48, 51, 50] <-- Page - 50
[52, 47, 48, 51, 50, 49] <-- Page - 49
[52, 47, 48, 51, 50, 49] <-- Page - 49
[52, 47, 48, 50, 49, 51] <-- Page - 51
[52, 47, 48, 50, 49, 51] <-- Page - 51
[52, 47, 50, 49, 51, 48] <-- Page - 48
[52, 47, 50, 49, 48, 51] <-- Page - 51
[52, 47, 50, 49, 48, 51] <-- Page - 51
[52, 47, 49, 48, 51, 50] <-- Page - 50
[52, 47, 49, 51, 50, 48] <-- Page - 48
[52, 47, 49, 51, 48, 50] <-- Page - 50
[52, 47, 51, 48, 50, 49] <-- Page - 49
[52, 47, 51, 48, 50, 49] <-- Page - 49
[52, 47, 51, 50, 49, 48] <-- Page - 48
[52, 47, 51, 49, 48, 50] <-- Page - 50
[52, 47, 51, 49, 48, 50] <-- Page - 50
[52, 47, 51, 48, 50, 49] <-- Page - 49
[52, 47, 51, 48, 49, 50] <-- Page - 50
[52, 47, 51, 49, 50, 48] <-- Page - 48
[52, 47, 51, 49, 48, 50] <-- Page - 50
[52, 47, 51, 49, 48, 50] <-- Page - 50
[52, 47, 51, 48, 50, 49] <-- Page - 49
[52, 47, 51, 48, 50, 49] <-- Page - 49
[52, 47, 51, 48, 49, 50] <-- Page - 50
[52, 47, 51, 48, 49, 50] <-- Page - 50
[52, 47, 51, 48, 49, 50] <-- Page - 50
[52, 47, 51, 48, 49, 50] <-- Page - 50
[52, 47, 51, 48, 49, 50] <-- Page - 50
[52, 47, 51, 48, 49, 50] <-- Page - 50
[52, 47, 51, 48, 49, 50] <-- Page - 50
[52, 47, 51, 48, 49, 50] <-- Page - 50
[52, 47, 51, 48, 50, 49] <-- Page - 49
[52, 51, 48, 50, 49, 47] <-- Page - 47
[52, 48, 50, 49, 47, 51] <-- Page - 51
[48, 50, 49, 47, 51, 52] <-- Page - 52
[48, 49, 47, 51, 52, 50] <-- Page - 50
[48, 47, 51, 52, 50, 49] <-- Page - 49
[48, 47, 51, 52, 50, 49] <-- Page - 49
[48, 47, 51, 52, 50, 49] <-- Page - 49
[48, 47, 51, 52, 49, 50] <-- Page - 50
[47, 51, 52, 49, 50, 48] <-- Page - 48
[47, 51, 52, 50, 48, 49] <-- Page - 49
[47, 51, 52, 50, 48, 49] <-- Page - 49
[47, 51, 52, 48, 49, 50] <-- Page - 50
[47, 51, 52, 48, 50, 49] <-- Page - 49
[47, 51, 52, 48, 49, 50] <-- Page - 50
[47, 51, 52, 48, 50, 49] <-- Page - 49
[47, 51, 52, 48, 49, 50] <-- Page - 50
[47, 51, 52, 48, 49, 50] <-- Page - 50
[47, 51, 48, 49, 50, 52] <-- Page - 52
[47, 51, 49, 50, 52, 48] <-- Page - 48
[47, 51, 50, 52, 48, 49] <-- Page - 49
[47, 51, 52, 48, 49, 50] <-- Page - 50
[47, 51, 48, 49, 50, 52] <-- Page - 52
[47, 51, 48, 50, 52, 49] <-- Page - 49
[47, 51, 48, 52, 49, 50] <-- Page - 50
[47, 51, 48, 52, 50, 49] <-- Page - 49
[47, 48, 52, 50, 49, 51] <-- Page - 51
[47, 48, 52, 50, 51, 49] <-- Page - 49
[47, 48, 52, 51, 49, 50] <-- Page - 50
[47, 48, 52, 51, 50, 49] <-- Page - 49
[47, 52, 51, 50, 49, 48] <-- Page - 48
[47, 52, 51, 49, 48, 50] <-- Page - 50
[47, 52, 51, 49, 48, 50] <-- Page - 50
[47, 52, 49, 48, 50, 51] <-- Page - 51
[47, 52, 48, 50, 51, 49] <-- Page - 49
[47, 52, 48, 50, 51, 49] <-- Page - 49
[47, 52, 48, 51, 49, 50] <-- Page - 50
[47, 52, 48, 51, 49, 50] <-- Page - 50
[47, 52, 48, 51, 49, 50] <-- Page - 50
[47, 52, 48, 51, 50, 49] <-- Page - 49
[47, 52, 48, 50, 49, 51] <-- Page - 51
[47, 52, 48, 49, 51, 50] <-- Page - 50
[47, 52, 48, 49, 50, 51] <-- Page - 51
[47, 52, 48, 49, 50, 51] <-- Page - 51
[47, 52, 48, 49, 51, 50] <-- Page - 50
[47, 52, 49, 51, 50, 48] <-- Page - 48
[47, 52, 49, 51, 48, 50] <-- Page - 50
[47, 52, 49, 51, 48, 50] <-- Page - 50
[47, 52, 49, 51, 48, 50] <-- Page - 50
[47, 52, 49, 48, 50, 51] <-- Page - 51
[47, 52, 48, 50, 51, 49] <-- Page - 49
[47, 52, 48, 51, 49, 50] <-- Page - 50
[47, 52, 48, 51, 50, 49] <-- Page - 49
[47, 52, 48, 50, 49, 51] <-- Page - 51
[47, 52, 50, 49, 51, 48] <-- Page - 48
[47, 52, 50, 49, 51, 48] <-- Page - 48
[47, 52, 50, 49, 51, 48] <-- Page - 48
[47, 52, 50, 51, 48, 49] <-- Page - 49
[47, 52, 50, 51, 49, 48] <-- Page - 48
[47, 52, 50, 49, 48, 51] <-- Page - 51
[47, 52, 50, 48, 51, 49] <-- Page - 49
[47, 52, 50, 51, 49, 48] <-- Page - 48
[47, 52, 50, 49, 48, 51] <-- Page - 51
[47, 52, 50, 48, 51, 49] <-- Page - 49
[47, 52, 50, 51, 49, 48] <-- Page - 48
[47, 52, 51, 49, 48, 50] <-- Page - 50
[47, 52, 51, 49, 48, 50] <-- Page - 50
[47, 52, 51, 48, 50, 49] <-- Page - 49
[47, 52, 48, 50, 49, 51] <-- Page - 51
[47, 52, 48, 49, 51, 50] <-- Page - 50
[47, 52, 48, 49, 50, 51] <-- Page - 51
[47, 52, 48, 49, 51, 50] <-- Page - 50
[47, 52, 48, 49, 50, 51] <-- Page - 51
[47, 52, 48, 49, 51, 50] <-- Page - 50
[47, 52, 49, 51, 50, 48] <-- Page - 48
[47, 49, 51, 50, 48, 52] <-- Page - 52
[47, 51, 50, 48, 52, 49] <-- Page - 49
[47, 51, 50, 48, 52, 49] <-- Page - 49
[47, 51, 50, 48, 52, 49] <-- Page - 49
[47, 51, 50, 48, 52, 49] <-- Page - 49
[47, 51, 48, 52, 49, 50] <-- Page - 50
[47, 51, 48, 52, 49, 50] <-- Page - 50
[47, 51, 48, 52, 49, 50] <-- Page - 50
[47, 48, 52, 49, 50, 51] <-- Page - 51
[47, 48, 52, 50, 51, 49] <-- Page - 49
[47, 52, 50, 51, 49, 48] <-- Page - 48
[47, 52, 50, 51, 49, 48] <-- Page - 48
[47, 52, 50, 51, 48, 49] <-- Page - 49
[47, 52, 50, 51, 49, 48] <-- Page - 48
[47, 52, 51, 49, 48, 50] <-- Page - 50
[47, 52, 51, 48, 50, 49] <-- Page - 49
[47, 52, 51, 48, 50, 49] <-- Page - 49
[47, 52, 51, 48, 50, 49] <-- Page - 49
[47, 52, 51, 50, 49, 48] <-- Page - 48
[47, 52, 51, 50, 48, 49] <-- Page - 49
[47, 52, 51, 48, 49, 50] <-- Page - 50
[47, 52, 51, 48, 49, 50] <-- Page - 50
[47, 52, 51, 48, 50, 49] <-- Page - 49
[47, 52, 48, 50, 49, 51] <-- Page - 51
[47, 52, 50, 49, 51, 48] <-- Page - 48
[47, 52, 50, 51, 48, 49] <-- Page - 49
[47, 52, 50, 51, 48, 49] <-- Page - 49
[52, 50, 51, 48, 49, 47] <-- Page - 47
[52, 50, 48, 49, 47, 51] <-- Page - 51
[52, 48, 49, 47, 51, 50] <-- Page - 50
[52, 49, 47, 51, 50, 48] <-- Page - 48
[49, 47, 51, 50, 48, 52] <-- Page - 52
[49, 47, 51, 48, 52, 50] <-- Page - 50
[49, 47, 51, 48, 52, 50] <-- Page - 50
[47, 51, 48, 52, 50, 49] <-- Page - 49
[47, 51, 48, 52, 49, 50] <-- Page - 50
[47, 51, 52, 49, 50, 48] <-- Page - 48
[47, 51, 52, 49, 48, 50] <-- Page - 50
[47, 51, 52, 48, 50, 49] <-- Page - 49
[47, 51, 52, 48, 49, 50] <-- Page - 50
[47, 52, 48, 49, 50, 51] <-- Page - 51
[47, 52, 48, 49, 51, 50] <-- Page - 50
[47, 52, 48, 49, 51, 50] <-- Page - 50
[47, 52, 48, 49, 51, 50] <-- Page - 50
[47, 52, 48, 51, 50, 49] <-- Page - 49
[47, 52, 48, 51, 49, 50] <-- Page - 50
[47, 52, 48, 49, 50, 51] <-- Page - 51
[47, 52, 48, 49, 51, 50] <-- Page - 50
[47, 52, 48, 49, 51, 50] <-- Page - 50
[47, 52, 48, 51, 50, 49] <-- Page - 49
[47, 52, 48, 51, 50, 49] <-- Page - 49
[47, 52, 51, 50, 49, 48] <-- Page - 48
[47, 52, 50, 49, 48, 51] <-- Page - 51
[47, 52, 50, 48, 51, 49] <-- Page - 49
[47, 52, 50, 48, 49, 51] <-- Page - 51
[47, 52, 50, 48, 51, 49] <-- Page - 49
[47, 52, 50, 48, 51, 49] <-- Page - 49
[47, 52, 48, 51, 49, 50] <-- Page - 50
[47, 52, 48, 51, 49, 50] <-- Page - 50
[47, 52, 48, 51, 49, 50] <-- Page - 50
[47, 52, 48, 51, 49, 50] <-- Page - 50
[47, 52, 48, 51, 49, 50] <-- Page - 50
[47, 52, 48, 51, 49, 50] <-- Page - 50
[47, 52, 51, 49, 50, 48] <-- Page - 48
[47, 52, 51, 49, 48, 50] <-- Page - 50
[47, 52, 51, 48, 50, 49] <-- Page - 49
[47, 52, 51, 48, 50, 49] <-- Page - 49
[47, 52, 51, 48, 49, 50] <-- Page - 50
[47, 52, 51, 48, 50, 49] <-- Page - 49
[47, 52, 51, 48, 50, 49] <-- Page - 49
[47, 52, 51, 48, 50, 49] <-- Page - 49
[47, 52, 51, 48, 49, 50] <-- Page - 50
[47, 52, 51, 48, 49, 50] <-- Page - 50
[47, 52, 51, 48, 50, 49] <-- Page - 49
[47, 52, 51, 48, 49, 50] <-- Page - 50
------------------------------------------------------------
