# seed=(1, 2) mean=(5, 20) standard_deviation=(1, 15) number_of_processes=1000
------------------------------------------------------------
Average waiting time : 2247.196
Average turn around time : 2251.731
------------------------------------------------------------
Process 0 | Waiting Time 0 | Burst Time 5 | Arrival Time 0 | Turn Around Time 5
Process 68 | Waiting Time 309 | Burst Time 4 | Arrival Time 3 | Turn Around Time 313
Process 69 | Waiting Time 313 | Burst Time 5 | Arrival Time 3 | Turn Around Time 318
Process 70 | Waiting Time 318 | Burst Time 5 | Arrival Time 3 | Turn Around Time 323
Process 71 | Waiting Time 323 | Burst Time 5 | Arrival Time 3 | Turn Around Time 328
Process 72 | Waiting Time 328 | Burst Time 3 | Arrival Time 3 | Turn Around Time 331
Process 73 | Waiting Time 331 | Burst Time 5 | Arrival Time 3 | Turn Around Time 336
Process 74 | Waiting Time 336 | Burst Time 4 | Arrival Time 3 | Turn Around Time 340
Process 75 | Waiting Time 340 | Burst Time 4 | Arrival Time 3 | Turn Around Time 344
Process 76 | Waiting Time 344 | Burst Time 4 | Arrival Time 3 | Turn Around Time 348
Process 77 | Waiting Time 348 | Burst Time 5 | Arrival Time 3 | Turn Around Time 353
Process 78 | Waiting Time 353 | Burst Time 6 | Arrival Time 3 | Turn Around Time 359
Process 79 | Waiting Time 359 | Burst Time 6 | Arrival Time 3 | Turn Around Time 365
Process 80 | Waiting Time 365 | Burst Time 4 | Arrival Time 3 | Turn Around Time 369
Process 81 | Waiting Time 369 | Burst Time 4 | Arrival Time 3 | Turn Around Time 373
Process 82 | Waiting Time 373 | Burst Time 4 | Arrival Time 3 | Turn Around Time 377
Process 83 | Waiting Time 377 | Burst Time 5 | Arrival Time 3 | Turn Around Time 382
Process 84 | Waiting Time 382 | Burst Time 6 | Arrival Time 3 | Turn Around Time 388
Process 85 | Waiting Time 388 | Burst Time 5 | Arrival Time 3 | Turn Around Time 393
Process 86 | Waiting Time 393 | Burst Time 3 | Arrival Time 3 | Turn Around Time 396
Process 87 | Waiting Time 396 | Burst Time 6 | Arrival Time 3 | Turn Around Time 402
Process 88 | Waiting Time 402 | Burst Time 6 | Arrival Time 3 | Turn Around Time 408
Process 89 | Waiting Time 408 | Burst Time 6 | Arrival Time 3 | Turn Around Time 414
Process 90 | Waiting Time 414 | Burst Time 5 | Arrival Time 3 | Turn Around Time 419
Process 91 | Waiting Time 419 | Burst Time 4 | Arrival Time 3 | Turn Around Time 423
Process 92 | Waiting Time 423 | Burst Time 5 | Arrival Time 3 | Turn Around Time 428
Process 93 | Waiting Time 428 | Burst Time 4 | Arrival Time 3 | Turn Around Time 432
Process 94 | Waiting Time 431 | Burst Time 5 | Arrival Time 4 | Turn Around Time 436
Process 95 | Waiting Time 436 | Burst Time 4 | Arrival Time 4 | Turn Around Time 440
Process 96 | Waiting Time 440 | Burst Time 3 | Arrival Time 4 | Turn Around Time 443
Process 97 | Waiting Time 443 | Burst Time 3 | Arrival Time 4 | Turn Around Time 446
Process 98 | Waiting Time 446 | Burst Time 4 | Arrival Time 4 | Turn Around Time 450
Process 99 | Waiting Time 450 | Burst Time 6 | Arrival Time 4 | Turn Around Time 456
Process 100 | Waiting Time 456 | Burst Time 5 | Arrival Time 4 | Turn Around Time 461
Process 101 | Waiting Time 461 | Burst Time 5 | Arrival Time 4 | Turn Around Time 466
Process 102 | Waiting Time 466 | Burst Time 5 | Arrival Time 4 | Turn Around Time 471
Process 103 | Waiting Time 471 | Burst Time 6 | Arrival Time 4 | Turn Around Time 477
Process 104 | Waiting Time 477 | Burst Time 4 | Arrival Time 4 | Turn Around Time 481
Process 105 | Waiting Time 481 | Burst Time 6 | Arrival Time 4 | Turn Around Time 487
Process 106 | Waiting Time 487 | Burst Time 5 | Arrival Time 4 | Turn Around Time 492
Process 107 | Waiting Time 492 | Burst Time 5 | Arrival Time 4 | Turn Around Time 497
Process 108 | Waiting Time 497 | Burst Time 5 | Arrival Time 4 | Turn Around Time 502
Process 109 | Waiting Time 502 | Burst Time 4 | Arrival Time 4 | Turn Around Time 506
Process 110 | Waiting Time 506 | Burst Time 4 | Arrival Time 4 | Turn Around Time 510
Process 111 | Waiting Time 510 | Burst Time 5 | Arrival Time 4 | Turn Around Time 515
Process 112 | Waiting Time 515 | Burst Time 4 | Arrival Time 4 | Turn Around Time 519
Process 113 | Waiting Time 519 | Burst Time 4 | Arrival Time 4 | Turn Around Time 523
Process 114 | Waiting Time 523 | Burst Time 4 | Arrival Time 4 | Turn Around Time 527
Process 115 | Waiting Time 527 | Burst Time 4 | Arrival Time 4 | Turn Around Time 531
Process 116 | Waiting Time 531 | Burst Time 4 | Arrival Time 4 | Turn Around Time 535
Process 117 | Waiting Time 535 | Burst Time 5 | Arrival Time 4 | Turn Around Time 540
Process 118 | Waiting Time 540 | Burst Time 4 | Arrival Time 4 | Turn Around Time 544
Process 119 | Waiting Time 544 | Burst Time 1 | Arrival Time 4 | Turn Around Time 545
Process 120 | Waiting Time 544 | Burst Time 5 | Arrival Time 5 | Turn Around Time 549
Process 121 | Waiting Time 549 | Burst Time 5 | Arrival Time 5 | Turn Around Time 554
Process 122 | Waiting Time 554 | Burst Time 3 | Arrival Time 5 | Turn Around Time 557
Process 123 | Waiting Time 557 | Burst Time 5 | Arrival Time 5 | Turn Around Time 562
Process 124 | Waiting Time 562 | Burst Time 5 | Arrival Time 5 | Turn Around Time 567
Process 125 | Waiting Time 567 | Burst Time 4 | Arrival Time 5 | Turn Around Time 571
Process 126 | Waiting Time 571 | Burst Time 3 | Arrival Time 5 | Turn Around Time 574
Process 127 | Waiting Time 574 | Burst Time 5 | Arrival Time 5 | Turn Around Time 579
Process 128 | Waiting Time 579 | Burst Time 3 | Arrival Time 5 | Turn Around Time 582
Process 129 | Waiting Time 582 | Burst Time 4 | Arrival Time 5 | Turn Around Time 586
Process 130 | Waiting Time 586 | Burst Time 4 | Arrival Time 5 | Turn Around Time 590
Process 131 | Waiting Time 590 | Burst Time 4 | Arrival Time 5 | Turn Around Time 594
Process 132 | Waiting Time 594 | Burst Time 3 | Arrival Time 5 | Turn Around Time 597
Process 133 | Waiting Time 597 | Burst Time 3 | Arrival Time 5 | Turn Around Time 600
Process 134 | Waiting Time 600 | Burst Time 6 | Arrival Time 5 | Turn Around Time 606
Process 135 | Waiting Time 606 | Burst Time 5 | Arrival Time 5 | Turn Around Time 611
Process 136 | Waiting Time 611 | Burst Time 5 | Arrival Time 5 | Turn Around Time 616
Process 137 | Waiting Time 616 | Burst Time 5 | Arrival Time 5 | Turn Around Time 621
Process 138 | Waiting Time 621 | Burst Time 6 | Arrival Time 5 | Turn Around Time 627
Process 139 | Waiting Time 627 | Burst Time 4 | Arrival Time 5 | Turn Around Time 631
Process 140 | Waiting Time 631 | Burst Time 3 | Arrival Time 5 | Turn Around Time 634
Process 141 | Waiting Time 634 | Burst Time 5 | Arrival Time 5 | Turn Around Time 639
Process 142 | Waiting Time 639 | Burst Time 6 | Arrival Time 5 | Turn Around Time 645
Process 143 | Waiting Time 645 | Burst Time 4 | Arrival Time 5 | Turn Around Time 649
Process 144 | Waiting Time 649 | Burst Time 4 | Arrival Time 5 | Turn Around Time 653
Process 145 | Waiting Time 653 | Burst Time 6 | Arrival Time 5 | Turn Around Time 659
Process 146 | Waiting Time 658 | Burst Time 5 | Arrival Time 6 | Turn Around Time 663
Process 147 | Waiting Time 663 | Burst Time 4 | Arrival Time 6 | Turn Around Time 667
Process 148 | Waiting Time 667 | Burst Time 3 | Arrival Time 6 | Turn Around Time 670
Process 149 | Waiting Time 670 | Burst Time 5 | Arrival Time 6 | Turn Around Time 675
Process 150 | Waiting Time 675 | Burst Time 5 | Arrival Time 6 | Turn Around Time 680
Process 151 | Waiting Time 680 | Burst Time 3 | Arrival Time 6 | Turn Around Time 683
Process 152 | Waiting Time 683 | Burst Time 5 | Arrival Time 6 | Turn Around Time 688
Process 153 | Waiting Time 688 | Burst Time 4 | Arrival Time 6 | Turn Around Time 692
Process 154 | Waiting Time 692 | Burst Time 3 | Arrival Time 6 | Turn Around Time 695
Process 155 | Waiting Time 695 | Burst Time 4 | Arrival Time 6 | Turn Around Time 699
Process 156 | Waiting Time 699 | Burst Time 5 | Arrival Time 6 | Turn Around Time 704
Process 157 | Waiting Time 704 | Burst Time 4 | Arrival Time 6 | Turn Around Time 708
Process 158 | Waiting Time 708 | Burst Time 5 | Arrival Time 6 | Turn Around Time 713
Process 159 | Waiting Time 713 | Burst Time 5 | Arrival Time 6 | Turn Around Time 718
Process 160 | Waiting Time 718 | Burst Time 4 | Arrival Time 6 | Turn Around Time 722
Process 161 | Waiting Time 722 | Burst Time 6 | Arrival Time 6 | Turn Around Time 728
Process 162 | Waiting Time 728 | Burst Time 3 | Arrival Time 6 | Turn Around Time 731
Process 163 | Waiting Time 731 | Burst Time 6 | Arrival Time 6 | Turn Around Time 737
Process 164 | Waiting Time 737 | Burst Time 4 | Arrival Time 6 | Turn Around Time 741
Process 165 | Waiting Time 741 | Burst Time 5 | Arrival Time 6 | Turn Around Time 746
Process 166 | Waiting Time 746 | Burst Time 3 | Arrival Time 6 | Turn Around Time 749
Process 167 | Waiting Time 749 | Burst Time 5 | Arrival Time 6 | Turn Around Time 754
Process 168 | Waiting Time 754 | Burst Time 6 | Arrival Time 6 | Turn Around Time 760
Process 169 | Waiting Time 760 | Burst Time 5 | Arrival Time 6 | Turn Around Time 765
Process 170 | Waiting Time 765 | Burst Time 5 | Arrival Time 6 | Turn Around Time 770
Process 171 | Waiting Time 770 | Burst Time 4 | Arrival Time 6 | Turn Around Time 774
Process 172 | Waiting Time 773 | Burst Time 2 | Arrival Time 7 | Turn Around Time 775
Process 173 | Waiting Time 775 | Burst Time 5 | Arrival Time 7 | Turn Around Time 780
Process 174 | Waiting Time 780 | Burst Time 5 | Arrival Time 7 | Turn Around Time 785
Process 175 | Waiting Time 785 | Burst Time 5 | Arrival Time 7 | Turn Around Time 790
Process 176 | Waiting Time 790 | Burst Time 4 | Arrival Time 7 | Turn Around Time 794
Process 177 | Waiting Time 794 | Burst Time 5 | Arrival Time 7 | Turn Around Time 799
Process 178 | Waiting Time 799 | Burst Time 5 | Arrival Time 7 | Turn Around Time 804
Process 179 | Waiting Time 804 | Burst Time 5 | Arrival Time 7 | Turn Around Time 809
Process 180 | Waiting Time 809 | Burst Time 4 | Arrival Time 7 | Turn Around Time 813
Process 181 | Waiting Time 813 | Burst Time 8 | Arrival Time 7 | Turn Around Time 821
Process 182 | Waiting Time 821 | Burst Time 6 | Arrival Time 7 | Turn Around Time 827
Process 183 | Waiting Time 827 | Burst Time 2 | Arrival Time 7 | Turn Around Time 829
Process 184 | Waiting Time 829 | Burst Time 5 | Arrival Time 7 | Turn Around Time 834
Process 185 | Waiting Time 834 | Burst Time 5 | Arrival Time 7 | Turn Around Time 839
Process 186 | Waiting Time 839 | Burst Time 3 | Arrival Time 7 | Turn Around Time 842
Process 187 | Waiting Time 842 | Burst Time 6 | Arrival Time 7 | Turn Around Time 848
Process 188 | Waiting Time 848 | Burst Time 5 | Arrival Time 7 | Turn Around Time 853
Process 189 | Waiting Time 853 | Burst Time 6 | Arrival Time 7 | Turn Around Time 859
Process 190 | Waiting Time 859 | Burst Time 4 | Arrival Time 7 | Turn Around Time 863
Process 191 | Waiting Time 863 | Burst Time 4 | Arrival Time 7 | Turn Around Time 867
Process 192 | Waiting Time 867 | Burst Time 5 | Arrival Time 7 | Turn Around Time 872
Process 193 | Waiting Time 872 | Burst Time 4 | Arrival Time 7 | Turn Around Time 876
Process 194 | Waiting Time 875 | Burst Time 5 | Arrival Time 8 | Turn Around Time 880
Process 195 | Waiting Time 880 | Burst Time 4 | Arrival Time 8 | Turn Around Time 884
Process 196 | Waiting Time 884 | Burst Time 5 | Arrival Time 8 | Turn Around Time 889
Process 197 | Waiting Time 889 | Burst Time 4 | Arrival Time 8 | Turn Around Time 893
Process 198 | Waiting Time 893 | Burst Time 3 | Arrival Time 8 | Turn Around Time 896
Process 199 | Waiting Time 896 | Burst Time 6 | Arrival Time 8 | Turn Around Time 902
Process 200 | Waiting Time 902 | Burst Time 4 | Arrival Time 8 | Turn Around Time 906
Process 201 | Waiting Time 906 | Burst Time 5 | Arrival Time 8 | Turn Around Time 911
Process 202 | Waiting Time 911 | Burst Time 6 | Arrival Time 8 | Turn Around Time 917
Process 203 | Waiting Time 917 | Burst Time 5 | Arrival Time 8 | Turn Around Time 922
Process 204 | Waiting Time 922 | Burst Time 5 | Arrival Time 8 | Turn Around Time 927
Process 205 | Waiting Time 927 | Burst Time 2 | Arrival Time 8 | Turn Around Time 929
Process 206 | Waiting Time 929 | Burst Time 5 | Arrival Time 8 | Turn Around Time 934
Process 207 | Waiting Time 934 | Burst Time 5 | Arrival Time 8 | Turn Around Time 939
Process 208 | Waiting Time 939 | Burst Time 6 | Arrival Time 8 | Turn Around Time 945
Process 209 | Waiting Time 945 | Burst Time 4 | Arrival Time 8 | Turn Around Time 949
Process 210 | Waiting Time 949 | Burst Time 6 | Arrival Time 8 | Turn Around Time 955
Process 211 | Waiting Time 955 | Burst Time 3 | Arrival Time 8 | Turn Around Time 958
Process 212 | Waiting Time 957 | Burst Time 6 | Arrival Time 9 | Turn Around Time 963
Process 213 | Waiting Time 963 | Burst Time 4 | Arrival Time 9 | Turn Around Time 967
Process 214 | Waiting Time 967 | Burst Time 4 | Arrival Time 9 | Turn Around Time 971
Process 215 | Waiting Time 971 | Burst Time 5 | Arrival Time 9 | Turn Around Time 976
Process 216 | Waiting Time 976 | Burst Time 6 | Arrival Time 9 | Turn Around Time 982
Process 217 | Waiting Time 982 | Burst Time 3 | Arrival Time 9 | Turn Around Time 985
Process 218 | Waiting Time 985 | Burst Time 6 | Arrival Time 9 | Turn Around Time 991
Process 219 | Waiting Time 991 | Burst Time 4 | Arrival Time 9 | Turn Around Time 995
Process 220 | Waiting Time 995 | Burst Time 4 | Arrival Time 9 | Turn Around Time 999
Process 221 | Waiting Time 999 | Burst Time 4 | Arrival Time 9 | Turn Around Time 1003
Process 222 | Waiting Time 1003 | Burst Time 4 | Arrival Time 9 | Turn Around Time 1007
Process 223 | Waiting Time 1007 | Burst Time 5 | Arrival Time 9 | Turn Around Time 1012
Process 224 | Waiting Time 1012 | Burst Time 5 | Arrival Time 9 | Turn Around Time 1017
Process 225 | Waiting Time 1017 | Burst Time 3 | Arrival Time 9 | Turn Around Time 1020
Process 226 | Waiting Time 1020 | Burst Time 5 | Arrival Time 9 | Turn Around Time 1025
Process 227 | Waiting Time 1025 | Burst Time 4 | Arrival Time 9 | Turn Around Time 1029
Process 228 | Waiting Time 1029 | Burst Time 4 | Arrival Time 9 | Turn Around Time 1033
Process 229 | Waiting Time 1033 | Burst Time 3 | Arrival Time 9 | Turn Around Time 1036
Process 230 | Waiting Time 1036 | Burst Time 5 | Arrival Time 9 | Turn Around Time 1041
Process 231 | Waiting Time 1040 | Burst Time 4 | Arrival Time 10 | Turn Around Time 1044
Process 232 | Waiting Time 1044 | Burst Time 5 | Arrival Time 10 | Turn Around Time 1049
Process 233 | Waiting Time 1049 | Burst Time 5 | Arrival Time 10 | Turn Around Time 1054
Process 234 | Waiting Time 1054 | Burst Time 3 | Arrival Time 10 | Turn Around Time 1057
Process 235 | Waiting Time 1057 | Burst Time 5 | Arrival Time 10 | Turn Around Time 1062
Process 236 | Waiting Time 1062 | Burst Time 6 | Arrival Time 10 | Turn Around Time 1068
Process 237 | Waiting Time 1068 | Burst Time 4 | Arrival Time 10 | Turn Around Time 1072
Process 238 | Waiting Time 1072 | Burst Time 5 | Arrival Time 10 | Turn Around Time 1077
Process 239 | Waiting Time 1077 | Burst Time 5 | Arrival Time 10 | Turn Around Time 1082
Process 240 | Waiting Time 1082 | Burst Time 4 | Arrival Time 10 | Turn Around Time 1086
Process 241 | Waiting Time 1086 | Burst Time 5 | Arrival Time 10 | Turn Around Time 1091
Process 242 | Waiting Time 1091 | Burst Time 4 | Arrival Time 10 | Turn Around Time 1095
Process 243 | Waiting Time 1095 | Burst Time 4 | Arrival Time 10 | Turn Around Time 1099
Process 244 | Waiting Time 1099 | Burst Time 6 | Arrival Time 10 | Turn Around Time 1105
Process 245 | Waiting Time 1105 | Burst Time 4 | Arrival Time 10 | Turn Around Time 1109
Process 246 | Waiting Time 1109 | Burst Time 4 | Arrival Time 10 | Turn Around Time 1113
Process 247 | Waiting Time 1113 | Burst Time 5 | Arrival Time 10 | Turn Around Time 1118
Process 248 | Waiting Time 1118 | Burst Time 5 | Arrival Time 10 | Turn Around Time 1123
Process 249 | Waiting Time 1123 | Burst Time 6 | Arrival Time 10 | Turn Around Time 1129
Process 250 | Waiting Time 1129 | Burst Time 5 | Arrival Time 10 | Turn Around Time 1134
Process 251 | Waiting Time 1134 | Burst Time 4 | Arrival Time 10 | Turn Around Time 1138
Process 252 | Waiting Time 1138 | Burst Time 4 | Arrival Time 10 | Turn Around Time 1142
Process 253 | Waiting Time 1142 | Burst Time 4 | Arrival Time 10 | Turn Around Time 1146
Process 254 | Waiting Time 1146 | Burst Time 3 | Arrival Time 10 | Turn Around Time 1149
Process 255 | Waiting Time 1149 | Burst Time 3 | Arrival Time 10 | Turn Around Time 1152
Process 256 | Waiting Time 1152 | Burst Time 4 | Arrival Time 10 | Turn Around Time 1156
Process 257 | Waiting Time 1156 | Burst Time 4 | Arrival Time 10 | Turn Around Time 1160
Process 258 | Waiting Time 1160 | Burst Time 4 | Arrival Time 10 | Turn Around Time 1164
Process 259 | Waiting Time 1164 | Burst Time 4 | Arrival Time 10 | Turn Around Time 1168
Process 260 | Waiting Time 1168 | Burst Time 6 | Arrival Time 10 | Turn Around Time 1174
Process 261 | Waiting Time 1174 | Burst Time 3 | Arrival Time 10 | Turn Around Time 1177
Process 262 | Waiting Time 1177 | Burst Time 4 | Arrival Time 10 | Turn Around Time 1181
Process 263 | Waiting Time 1181 | Burst Time 5 | Arrival Time 10 | Turn Around Time 1186
Process 264 | Waiting Time 1186 | Burst Time 4 | Arrival Time 10 | Turn Around Time 1190
Process 265 | Waiting Time 1189 | Burst Time 3 | Arrival Time 11 | Turn Around Time 1192
Process 266 | Waiting Time 1192 | Burst Time 5 | Arrival Time 11 | Turn Around Time 1197
Process 267 | Waiting Time 1197 | Burst Time 5 | Arrival Time 11 | Turn Around Time 1202
Process 268 | Waiting Time 1202 | Burst Time 4 | Arrival Time 11 | Turn Around Time 1206
Process 269 | Waiting Time 1206 | Burst Time 5 | Arrival Time 11 | Turn Around Time 1211
Process 270 | Waiting Time 1211 | Burst Time 7 | Arrival Time 11 | Turn Around Time 1218
Process 271 | Waiting Time 1218 | Burst Time 5 | Arrival Time 11 | Turn Around Time 1223
Process 272 | Waiting Time 1223 | Burst Time 5 | Arrival Time 11 | Turn Around Time 1228
Process 273 | Waiting Time 1228 | Burst Time 4 | Arrival Time 11 | Turn Around Time 1232
Process 274 | Waiting Time 1232 | Burst Time 5 | Arrival Time 11 | Turn Around Time 1237
Process 275 | Waiting Time 1237 | Burst Time 5 | Arrival Time 11 | Turn Around Time 1242
Process 276 | Waiting Time 1242 | Burst Time 4 | Arrival Time 11 | Turn Around Time 1246
Process 277 | Waiting Time 1246 | Burst Time 4 | Arrival Time 11 | Turn Around Time 1250
Process 278 | Waiting Time 1250 | Burst Time 5 | Arrival Time 11 | Turn Around Time 1255
Process 279 | Waiting Time 1255 | Burst Time 4 | Arrival Time 11 | Turn Around Time 1259
Process 280 | Waiting Time 1259 | Burst Time 6 | Arrival Time 11 | Turn Around Time 1265
Process 281 | Waiting Time 1265 | Burst Time 4 | Arrival Time 11 | Turn Around Time 1269
Process 282 | Waiting Time 1269 | Burst Time 4 | Arrival Time 11 | Turn Around Time 1273
Process 283 | Waiting Time 1273 | Burst Time 5 | Arrival Time 11 | Turn Around Time 1278
Process 284 | Waiting Time 1278 | Burst Time 4 | Arrival Time 11 | Turn Around Time 1282
Process 285 | Waiting Time 1282 | Burst Time 5 | Arrival Time 11 | Turn Around Time 1287
Process 286 | Waiting Time 1287 | Burst Time 5 | Arrival Time 11 | Turn Around Time 1292
Process 287 | Waiting Time 1292 | Burst Time 4 | Arrival Time 11 | Turn Around Time 1296
Process 288 | Waiting Time 1296 | Burst Time 4 | Arrival Time 11 | Turn Around Time 1300
Process 289 | Waiting Time 1300 | Burst Time 4 | Arrival Time 11 | Turn Around Time 1304
Process 290 | Waiting Time 1304 | Burst Time 5 | Arrival Time 11 | Turn Around Time 1309
Process 291 | Waiting Time 1309 | Burst Time 5 | Arrival Time 11 | Turn Around Time 1314
Process 292 | Waiting Time 1313 | Burst Time 4 | Arrival Time 12 | Turn Around Time 1317
Process 293 | Waiting Time 1317 | Burst Time 3 | Arrival Time 12 | Turn Around Time 1320
Process 294 | Waiting Time 1320 | Burst Time 4 | Arrival Time 12 | Turn Around Time 1324
Process 295 | Waiting Time 1324 | Burst Time 5 | Arrival Time 12 | Turn Around Time 1329
Process 296 | Waiting Time 1329 | Burst Time 5 | Arrival Time 12 | Turn Around Time 1334
Process 297 | Waiting Time 1334 | Burst Time 5 | Arrival Time 12 | Turn Around Time 1339
Process 298 | Waiting Time 1339 | Burst Time 6 | Arrival Time 12 | Turn Around Time 1345
Process 299 | Waiting Time 1345 | Burst Time 6 | Arrival Time 12 | Turn Around Time 1351
Process 300 | Waiting Time 1351 | Burst Time 6 | Arrival Time 12 | Turn Around Time 1357
Process 301 | Waiting Time 1357 | Burst Time 4 | Arrival Time 12 | Turn Around Time 1361
