# seed=(1, 2) mean=(5, 20) standard_deviation=(1, 15) number_of_processes=100
------------------------------------------------------------
Average waiting time : 205.93
Average turn around time : 210.49
------------------------------------------------------------
Process 0 | Waiting Time 0 | Burst Time 5 | Arrival Time 0 | Turn Around Time 5
Process 48 | Waiting Time 199 | Burst Time 4 | Arrival Time 18 | Turn Around Time 203
Process 49 | Waiting Time 202 | Burst Time 4 | Arrival Time 19 | Turn Around Time 206
Process 50 | Waiting Time 206 | Burst Time 4 | Arrival Time 19 | Turn Around Time 210
Process 51 | Waiting Time 210 | Burst Time 5 | Arrival Time 19 | Turn Around Time 215
Process 52 | Waiting Time 215 | Burst Time 4 | Arrival Time 19 | Turn Around Time 219
Process 53 | Waiting Time 218 | Burst Time 4 | Arrival Time 20 | Turn Around Time 222
Process 54 | Waiting Time 222 | Burst Time 5 | Arrival Time 20 | Turn Around Time 227
Process 55 | Waiting Time 227 | Burst Time 6 | Arrival Time 20 | Turn Around Time 233
Process 56 | Waiting Time 233 | Burst Time 7 | Arrival Time 20 | Turn Around Time 240
Process 57 | Waiting Time 240 | Burst Time 4 | Arrival Time 20 | Turn Around Time 244
Process 58 | Waiting Time 244 | Burst Time 5 | Arrival Time 20 | Turn Around Time 249
Process 59 | Waiting Time 248 | Burst Time 4 | Arrival Time 21 | Turn Around Time 252
Process 60 | Waiting Time 252 | Burst Time 5 | Arrival Time 21 | Turn Around Time 257
Process 61 | Waiting Time 255 | Burst Time 5 | Arrival Time 23 | Turn Around Time 260
Process 62 | Waiting Time 260 | Burst Time 5 | Arrival Time 23 | Turn Around Time 265
Process 63 | Waiting Time 265 | Burst Time 4 | Arrival Time 23 | Turn Around Time 269
Process 64 | Waiting Time 268 | Burst Time 4 | Arrival Time 24 | Turn Around Time 272
Process 65 | Waiting Time 271 | Burst Time 4 | Arrival Time 25 | Turn Around Time 275
Process 66 | Waiting Time 275 | Burst Time 6 | Arrival Time 25 | Turn Around Time 281
Process 67 | Waiting Time 281 | Burst Time 6 | Arrival Time 25 | Turn Around Time 287
Process 68 | Waiting Time 287 | Burst Time 4 | Arrival Time 25 | Turn Around Time 291
Process 69 | Waiting Time 290 | Burst Time 4 | Arrival Time 26 | Turn Around Time 294
Process 70 | Waiting Time 293 | Burst Time 6 | Arrival Time 27 | Turn Around Time 299
Process 71 | Waiting Time 299 | Burst Time 3 | Arrival Time 27 | Turn Around Time 302
Process 72 | Waiting Time 302 | Burst Time 5 | Arrival Time 27 | Turn Around Time 307
Process 73 | Waiting Time 307 | Burst Time 7 | Arrival Time 27 | Turn Around Time 314
Process 74 | Waiting Time 313 | Burst Time 6 | Arrival Time 28 | Turn Around Time 319
Process 75 | Waiting Time 319 | Burst Time 6 | Arrival Time 28 | Turn Around Time 325
Process 76 | Waiting Time 325 | Burst Time 5 | Arrival Time 28 | Turn Around Time 330
Process 77 | Waiting Time 330 | Burst Time 5 | Arrival Time 28 | Turn Around Time 335
Process 78 | Waiting Time 334 | Burst Time 5 | Arrival Time 29 | Turn Around Time 339
Process 79 | Waiting Time 338 | Burst Time 5 | Arrival Time 30 | Turn Around Time 343
Process 80 | Waiting Time 342 | Burst Time 4 | Arrival Time 31 | Turn Around Time 346
Process 81 | Waiting Time 346 | Burst Time 3 | Arrival Time 31 | Turn Around Time 349
Process 82 | Waiting Time 348 | Burst Time 4 | Arrival Time 32 | Turn Around Time 352
Process 83 | Waiting Time 352 | Burst Time 5 | Arrival Time 32 | Turn Around Time 357
Process 84 | Waiting Time 354 | Burst Time 5 | Arrival Time 35 | Turn Around Time 359
Process 85 | Waiting Time 359 | Burst Time 5 | Arrival Time 35 | Turn Around Time 364
Process 86 | Waiting Time 362 | Burst Time 4 | Arrival Time 37 | Turn Around Time 366
Process 87 | Waiting Time 366 | Burst Time 4 | Arrival Time 37 | Turn Around Time 370
Process 88 | Waiting Time 369 | Burst Time 5 | Arrival Time 38 | Turn Around Time 374
Process 89 | Waiting Time 374 | Burst Time 5 | Arrival Time 38 | Turn Around Time 379
Process 90 | Waiting Time 378 | Burst Time 5 | Arrival Time 39 | Turn Around Time 383
Process 91 | Waiting Time 382 | Burst Time 4 | Arrival Time 40 | Turn Around Time 386
Process 92 | Waiting Time 386 | Burst Time 4 | Arrival Time 40 | Turn Around Time 390
Process 93 | Waiting Time 389 | Burst Time 4 | Arrival Time 41 | Turn Around Time 393
Process 94 | Waiting Time 392 | Burst Time 5 | Arrival Time 42 | Turn Around Time 397
Process 95 | Waiting Time 396 | Burst Time 2 | Arrival Time 43 | Turn Around Time 398
Process 96 | Waiting Time 397 | Burst Time 3 | Arrival Time 44 | Turn Around Time 400
Process 97 | Waiting Time 399 | Burst Time 6 | Arrival Time 45 | Turn Around Time 405
Process 98 | Waiting Time 397 | Burst Time 4 | Arrival Time 53 | Turn Around Time 401
Process 99 | Waiting Time 400 | Burst Time 2 | Arrival Time 54 | Turn Around Time 402
