# seed=(1, 2) mean=(250, 20) standard_deviation=(50, 15) number_of_processes=100
------------------------------------------------------------
Average waiting time : 12511.77
Average turn around time : 12764.3
------------------------------------------------------------
Process 0 | Waiting Time 0 | Burst Time 146 | Arrival Time 54 | Turn Around Time 146
Process 26 | Waiting Time 6338 | Burst Time 337 | Arrival Time 27 | Turn Around Time 6675
Process 27 | Waiting Time 6675 | Burst Time 194 | Arrival Time 27 | Turn Around Time 6869
Process 28 | Waiting Time 6869 | Burst Time 296 | Arrival Time 27 | Turn Around Time 7165
Process 29 | Waiting Time 7165 | Burst Time 359 | Arrival Time 27 | Turn Around Time 7524
Process 30 | Waiting Time 7525 | Burst Time 239 | Arrival Time 26 | Turn Around Time 7764
Process 31 | Waiting Time 7765 | Burst Time 216 | Arrival Time 25 | Turn Around Time 7981
Process 32 | Waiting Time 7981 | Burst Time 306 | Arrival Time 25 | Turn Around Time 8287
Process 33 | Waiting Time 8287 | Burst Time 309 | Arrival Time 25 | Turn Around Time 8596
Process 34 | Waiting Time 8596 | Burst Time 232 | Arrival Time 25 | Turn Around Time 8828
Process 35 | Waiting Time 8829 | Burst Time 235 | Arrival Time 24 | Turn Around Time 9064
Process 36 | Waiting Time 9065 | Burst Time 295 | Arrival Time 23 | Turn Around Time 9360
Process 37 | Waiting Time 9360 | Burst Time 264 | Arrival Time 23 | Turn Around Time 9624
Process 38 | Waiting Time 9624 | Burst Time 231 | Arrival Time 23 | Turn Around Time 9855
Process 39 | Waiting Time 9857 | Burst Time 207 | Arrival Time 21 | Turn Around Time 10064
Process 40 | Waiting Time 10064 | Burst Time 280 | Arrival Time 21 | Turn Around Time 10344
Process 41 | Waiting Time 10345 | Burst Time 233 | Arrival Time 20 | Turn Around Time 10578
Process 42 | Waiting Time 10578 | Burst Time 279 | Arrival Time 20 | Turn Around Time 10857
Process 43 | Waiting Time 10857 | Burst Time 332 | Arrival Time 20 | Turn Around Time 11189
Process 44 | Waiting Time 11189 | Burst Time 355 | Arrival Time 20 | Turn Around Time 11544
Process 45 | Waiting Time 11544 | Burst Time 246 | Arrival Time 20 | Turn Around Time 11790
Process 46 | Waiting Time 11790 | Burst Time 293 | Arrival Time 20 | Turn Around Time 12083
Process 47 | Waiting Time 12084 | Burst Time 219 | Arrival Time 19 | Turn Around Time 12303
Process 48 | Waiting Time 12303 | Burst Time 241 | Arrival Time 19 | Turn Around Time 12544
Process 49 | Waiting Time 12544 | Burst Time 275 | Arrival Time 19 | Turn Around Time 12819
Process 50 | Waiting Time 12819 | Burst Time 234 | Arrival Time 19 | Turn Around Time 13053
Process 51 | Waiting Time 13054 | Burst Time 232 | Arrival Time 18 | Turn Around Time 13286
Process 52 | Waiting Time 13286 | Burst Time 312 | Arrival Time 18 | Turn Around Time 13598
Process 53 | Waiting Time 13598 | Burst Time 291 | Arrival Time 18 | Turn Around Time 13889
Process 54 | Waiting Time 13889 | Burst Time 239 | Arrival Time 18 | Turn Around Time 14128
Process 55 | Waiting Time 14129 | Burst Time 307 | Arrival Time 17 | Turn Around Time 14436
Process 56 | Waiting Time 14436 | Burst Time 276 | Arrival Time 17 | Turn Around Time 14712
Process 57 | Waiting Time 14712 | Burst Time 238 | Arrival Time 17 | Turn Around Time 14950
Process 58 | Waiting Time 14951 | Burst Time 215 | Arrival Time 16 | Turn Around Time 15166
Process 59 | Waiting Time 15166 | Burst Time 215 | Arrival Time 16 | Turn Around Time 15381
Process 60 | Waiting Time 15381 | Burst Time 252 | Arrival Time 16 | Turn Around Time 15633
Process 61 | Waiting Time 15634 | Burst Time 215 | Arrival Time 15 | Turn Around Time 15849
Process 62 | Waiting Time 15849 | Burst Time 240 | Arrival Time 15 | Turn Around Time 16089
Process 63 | Waiting Time 16089 | Burst Time 284 | Arrival Time 15 | Turn Around Time 16373
Process 64 | Waiting Time 16374 | Burst Time 295 | Arrival Time 14 | Turn Around Time 16669
Process 65 | Waiting Time 16669 | Burst Time 218 | Arrival Time 14 | Turn Around Time 16887
Process 66 | Waiting Time 16887 | Burst Time 232 | Arrival Time 14 | Turn Around Time 17119
Process 67 | Waiting Time 17119 | Burst Time 192 | Arrival Time 14 | Turn Around Time 17311
Process 68 | Waiting Time 17311 | Burst Time 258 | Arrival Time 14 | Turn Around Time 17569
Process 69 | Waiting Time 17570 | Burst Time 331 | Arrival Time 13 | Turn Around Time 17901
Process 70 | Waiting Time 17901 | Burst Time 212 | Arrival Time 13 | Turn Around Time 18113
Process 71 | Waiting Time 18113 | Burst Time 259 | Arrival Time 13 | Turn Around Time 18372
Process 72 | Waiting Time 18372 | Burst Time 256 | Arrival Time 13 | Turn Around Time 18628
Process 73 | Waiting Time 18629 | Burst Time 223 | Arrival Time 12 | Turn Around Time 18852
Process 74 | Waiting Time 18853 | Burst Time 195 | Arrival Time 11 | Turn Around Time 19048
Process 75 | Waiting Time 19049 | Burst Time 243 | Arrival Time 10 | Turn Around Time 19292
Process 76 | Waiting Time 19292 | Burst Time 291 | Arrival Time 10 | Turn Around Time 19583
Process 77 | Waiting Time 19583 | Burst Time 274 | Arrival Time 10 | Turn Around Time 19857
Process 78 | Waiting Time 19857 | Burst Time 177 | Arrival Time 10 | Turn Around Time 20034
Process 79 | Waiting Time 20034 | Burst Time 288 | Arrival Time 10 | Turn Around Time 20322
Process 80 | Waiting Time 20323 | Burst Time 306 | Arrival Time 9 | Turn Around Time 20629
Process 81 | Waiting Time 20630 | Burst Time 252 | Arrival Time 8 | Turn Around Time 20882
Process 82 | Waiting Time 20882 | Burst Time 212 | Arrival Time 8 | Turn Around Time 21094
Process 83 | Waiting Time 21095 | Burst Time 134 | Arrival Time 7 | Turn Around Time 21229
Process 84 | Waiting Time 21229 | Burst Time 261 | Arrival Time 7 | Turn Around Time 21490
Process 85 | Waiting Time 21490 | Burst Time 256 | Arrival Time 7 | Turn Around Time 21746
Process 86 | Waiting Time 21746 | Burst Time 294 | Arrival Time 7 | Turn Around Time 22040
Process 87 | Waiting Time 22041 | Burst Time 293 | Arrival Time 6 | Turn Around Time 22334
Process 88 | Waiting Time 22334 | Burst Time 237 | Arrival Time 6 | Turn Around Time 22571
Process 89 | Waiting Time 22571 | Burst Time 194 | Arrival Time 6 | Turn Around Time 22765
Process 90 | Waiting Time 22765 | Burst Time 271 | Arrival Time 6 | Turn Around Time 23036
Process 91 | Waiting Time 23037 | Burst Time 275 | Arrival Time 5 | Turn Around Time 23312
Process 92 | Waiting Time 23313 | Burst Time 265 | Arrival Time 4 | Turn Around Time 23578
Process 93 | Waiting Time 23579 | Burst Time 230 | Arrival Time 3 | Turn Around Time 23809
Process 94 | Waiting Time 23809 | Burst Time 265 | Arrival Time 3 | Turn Around Time 24074
Process 95 | Waiting Time 24075 | Burst Time 203 | Arrival Time 2 | Turn Around Time 24278
Process 96 | Waiting Time 24279 | Burst Time 211 | Arrival Time 1 | Turn Around Time 24490
Process 97 | Waiting Time 24490 | Burst Time 236 | Arrival Time 1 | Turn Around Time 24726
Process 98 | Waiting Time 24726 | Burst Time 325 | Arrival Time 1 | Turn Around Time 25051
Process 99 | Waiting Time 25052 | Burst Time 255 | Arrival Time 0 | Turn Around Time 25307
