# seed=(1, 2) mean=(250, 20) standard_deviation=(50, 15) number_of_processes=500
------------------------------------------------------------
Average waiting time : 62689.144
Average turn around time : 62941.332
------------------------------------------------------------
Process 0 | Waiting Time 0 | Burst Time 359 | Arrival Time 81 | Turn Around Time 359
Process 52 | Waiting Time 12779 | Burst Time 222 | Arrival Time 38 | Turn Around Time 13001
Process 53 | Waiting Time 13002 | Burst Time 206 | Arrival Time 37 | Turn Around Time 13208
Process 54 | Waiting Time 13208 | Burst Time 218 | Arrival Time 37 | Turn Around Time 13426
Process 55 | Waiting Time 13426 | Burst Time 227 | Arrival Time 37 | Turn Around Time 13653
Process 56 | Waiting Time 13653 | Burst Time 234 | Arrival Time 37 | Turn Around Time 13887
Process 57 | Waiting Time 13887 | Burst Time 292 | Arrival Time 37 | Turn Around Time 14179
Process 58 | Waiting Time 14179 | Burst Time 129 | Arrival Time 37 | Turn Around Time 14308
Process 59 | Waiting Time 14308 | Burst Time 310 | Arrival Time 37 | Turn Around Time 14618
Process 60 | Waiting Time 14618 | Burst Time 204 | Arrival Time 37 | Turn Around Time 14822
Process 61 | Waiting Time 14822 | Burst Time 272 | Arrival Time 37 | Turn Around Time 15094
Process 62 | Waiting Time 15095 | Burst Time 190 | Arrival Time 36 | Turn Around Time 15285
Process 63 | Waiting Time 15285 | Burst Time 243 | Arrival Time 36 | Turn Around Time 15528
Process 64 | Waiting Time 15528 | Burst Time 222 | Arrival Time 36 | Turn Around Time 15750
Process 65 | Waiting Time 15750 | Burst Time 214 | Arrival Time 36 | Turn Around Time 15964
Process 66 | Waiting Time 15964 | Burst Time 322 | Arrival Time 36 | Turn Around Time 16286
Process 67 | Waiting Time 16286 | Burst Time 238 | Arrival Time 36 | Turn Around Time 16524
Process 68 | Waiting Time 16524 | Burst Time 302 | Arrival Time 36 | Turn Around Time 16826
Process 69 | Waiting Time 16827 | Burst Time 265 | Arrival Time 35 | Turn Around Time 17092
Process 70 | Waiting Time 17092 | Burst Time 253 | Arrival Time 35 | Turn Around Time 17345
Process 71 | Waiting Time 17345 | Burst Time 218 | Arrival Time 35 | Turn Around Time 17563
Process 72 | Waiting Time 17563 | Burst Time 290 | Arrival Time 35 | Turn Around Time 17853
Process 73 | Waiting Time 17853 | Burst Time 177 | Arrival Time 35 | Turn Around Time 18030
Process 74 | Waiting Time 18030 | Burst Time 240 | Arrival Time 35 | Turn Around Time 18270
Process 75 | Waiting Time 18270 | Burst Time 226 | Arrival Time 35 | Turn Around Time 18496
Process 76 | Waiting Time 18496 | Burst Time 224 | Arrival Time 35 | Turn Around Time 18720
Process 77 | Waiting Time 18721 | Burst Time 256 | Arrival Time 34 | Turn Around Time 18977
Process 78 | Waiting Time 18977 | Burst Time 200 | Arrival Time 34 | Turn Around Time 19177
Process 79 | Waiting Time 19177 | Burst Time 308 | Arrival Time 34 | Turn Around Time 19485
Process 80 | Waiting Time 19485 | Burst Time 260 | Arrival Time 34 | Turn Around Time 19745
Process 81 | Waiting Time 19745 | Burst Time 338 | Arrival Time 34 | Turn Around Time 20083
Process 82 | Waiting Time 20084 | Burst Time 183 | Arrival Time 33 | Turn Around Time 20267
Process 83 | Waiting Time 20267 | Burst Time 239 | Arrival Time 33 | Turn Around Time 20506
Process 84 | Waiting Time 20506 | Burst Time 353 | Arrival Time 33 | Turn Around Time 20859
Process 85 | Waiting Time 20859 | Burst Time 275 | Arrival Time 33 | Turn Around Time 21134
Process 86 | Waiting Time 21135 | Burst Time 224 | Arrival Time 32 | Turn Around Time 21359
Process 87 | Waiting Time 21359 | Burst Time 259 | Arrival Time 32 | Turn Around Time 21618
Process 88 | Waiting Time 21618 | Burst Time 192 | Arrival Time 32 | Turn Around Time 21810
Process 89 | Waiting Time 21810 | Burst Time 155 | Arrival Time 32 | Turn Around Time 21965
Process 90 | Waiting Time 21965 | Burst Time 244 | Arrival Time 32 | Turn Around Time 22209
Process 91 | Waiting Time 22209 | Burst Time 281 | Arrival Time 32 | Turn Around Time 22490
Process 92 | Waiting Time 22490 | Burst Time 341 | Arrival Time 32 | Turn Around Time 22831
Process 93 | Waiting Time 22831 | Burst Time 292 | Arrival Time 32 | Turn Around Time 23123
Process 94 | Waiting Time 23123 | Burst Time 355 | Arrival Time 32 | Turn Around Time 23478
Process 95 | Waiting Time 23478 | Burst Time 228 | Arrival Time 32 | Turn Around Time 23706
Process 96 | Waiting Time 23706 | Burst Time 272 | Arrival Time 32 | Turn Around Time 23978
Process 97 | Waiting Time 23979 | Burst Time 205 | Arrival Time 31 | Turn Around Time 24184
Process 98 | Waiting Time 24184 | Burst Time 180 | Arrival Time 31 | Turn Around Time 24364
Process 99 | Waiting Time 24364 | Burst Time 157 | Arrival Time 31 | Turn Around Time 24521
Process 100 | Waiting Time 24521 | Burst Time 331 | Arrival Time 31 | Turn Around Time 24852
Process 101 | Waiting Time 24852 | Burst Time 241 | Arrival Time 31 | Turn Around Time 25093
Process 102 | Waiting Time 25093 | Burst Time 237 | Arrival Time 31 | Turn Around Time 25330
Process 103 | Waiting Time 25330 | Burst Time 268 | Arrival Time 31 | Turn Around Time 25598
Process 104 | Waiting Time 25598 | Burst Time 205 | Arrival Time 31 | Turn Around Time 25803
Process 105 | Waiting Time 25803 | Burst Time 306 | Arrival Time 31 | Turn Around Time 26109
Process 106 | Waiting Time 26109 | Burst Time 200 | Arrival Time 31 | Turn Around Time 26309
Process 107 | Waiting Time 26309 | Burst Time 148 | Arrival Time 31 | Turn Around Time 26457
Process 108 | Waiting Time 26457 | Burst Time 352 | Arrival Time 31 | Turn Around Time 26809
Process 109 | Waiting Time 26809 | Burst Time 244 | Arrival Time 31 | Turn Around Time 27053
Process 110 | Waiting Time 27053 | Burst Time 293 | Arrival Time 31 | Turn Around Time 27346
Process 111 | Waiting Time 27346 | Burst Time 226 | Arrival Time 31 | Turn Around Time 27572
Process 112 | Waiting Time 27573 | Burst Time 261 | Arrival Time 30 | Turn Around Time 27834
Process 113 | Waiting Time 27834 | Burst Time 261 | Arrival Time 30 | Turn Around Time 28095
Process 114 | Waiting Time 28095 | Burst Time 284 | Arrival Time 30 | Turn Around Time 28379
Process 115 | Waiting Time 28379 | Burst Time 237 | Arrival Time 30 | Turn Around Time 28616
Process 116 | Waiting Time 28616 | Burst Time 271 | Arrival Time 30 | Turn Around Time 28887
Process 117 | Waiting Time 28887 | Burst Time 162 | Arrival Time 30 | Turn Around Time 29049
Process 118 | Waiting Time 29049 | Burst Time 173 | Arrival Time 30 | Turn Around Time 29222
Process 119 | Waiting Time 29222 | Burst Time 289 | Arrival Time 30 | Turn Around Time 29511
Process 120 | Waiting Time 29511 | Burst Time 165 | Arrival Time 30 | Turn Around Time 29676
Process 121 | Waiting Time 29676 | Burst Time 275 | Arrival Time 30 | Turn Around Time 29951
Process 122 | Waiting Time 29951 | Burst Time 208 | Arrival Time 30 | Turn Around Time 30159
Process 123 | Waiting Time 30160 | Burst Time 259 | Arrival Time 29 | Turn Around Time 30419
Process 124 | Waiting Time 30419 | Burst Time 234 | Arrival Time 29 | Turn Around Time 30653
Process 125 | Waiting Time 30653 | Burst Time 272 | Arrival Time 29 | Turn Around Time 30925
Process 126 | Waiting Time 30925 | Burst Time 219 | Arrival Time 29 | Turn Around Time 31144
Process 127 | Waiting Time 31144 | Burst Time 246 | Arrival Time 29 | Turn Around Time 31390
Process 128 | Waiting Time 31390 | Burst Time 167 | Arrival Time 29 | Turn Around Time 31557
Process 129 | Waiting Time 31557 | Burst Time 173 | Arrival Time 29 | Turn Around Time 31730
Process 130 | Waiting Time 31730 | Burst Time 227 | Arrival Time 29 | Turn Around Time 31957
Process 131 | Waiting Time 31957 | Burst Time 241 | Arrival Time 29 | Turn Around Time 32198
Process 132 | Waiting Time 32198 | Burst Time 317 | Arrival Time 29 | Turn Around Time 32515
Process 133 | Waiting Time 32516 | Burst Time 323 | Arrival Time 28 | Turn Around Time 32839
Process 134 | Waiting Time 32839 | Burst Time 306 | Arrival Time 28 | Turn Around Time 33145
Process 135 | Waiting Time 33145 | Burst Time 287 | Arrival Time 28 | Turn Around Time 33432
Process 136 | Waiting Time 33432 | Burst Time 259 | Arrival Time 28 | Turn Around Time 33691
Process 137 | Waiting Time 33691 | Burst Time 277 | Arrival Time 28 | Turn Around Time 33968
Process 138 | Waiting Time 33968 | Burst Time 271 | Arrival Time 28 | Turn Around Time 34239
Process 139 | Waiting Time 34239 | Burst Time 320 | Arrival Time 28 | Turn Around Time 34559
Process 140 | Waiting Time 34559 | Burst Time 283 | Arrival Time 28 | Turn Around Time 34842
Process 141 | Waiting Time 34842 | Burst Time 238 | Arrival Time 28 | Turn Around Time 35080
Process 142 | Waiting Time 35080 | Burst Time 176 | Arrival Time 28 | Turn Around Time 35256
Process 143 | Waiting Time 35256 | Burst Time 281 | Arrival Time 28 | Turn Around Time 35537
Process 144 | Waiting Time 35537 | Burst Time 297 | Arrival Time 28 | Turn Around Time 35834
Process 145 | Waiting Time 35834 | Burst Time 124 | Arrival Time 28 | Turn Around Time 35958
Process 146 | Waiting Time 35958 | Burst Time 191 | Arrival Time 28 | Turn Around Time 36149
Process 147 | Waiting Time 36149 | Burst Time 251 | Arrival Time 28 | Turn Around Time 36400
Process 148 | Waiting Time 36400 | Burst Time 272 | Arrival Time 28 | Turn Around Time 36672
Process 149 | Waiting Time 36673 | Burst Time 337 | Arrival Time 27 | Turn Around Time 37010
Process 150 | Waiting Time 37010 | Burst Time 194 | Arrival Time 27 | Turn Around Time 37204
Process 151 | Waiting Time 37204 | Burst Time 296 | Arrival Time 27 | Turn Around Time 37500
Process 152 | Waiting Time 37500 | Burst Time 359 | Arrival Time 27 | Turn Around Time 37859
Process 153 | Waiting Time 37859 | Burst Time 290 | Arrival Time 27 | Turn Around Time 38149
Process 154 | Waiting Time 38149 | Burst Time 260 | Arrival Time 27 | Turn Around Time 38409
Process 155 | Waiting Time 38409 | Burst Time 314 | Arrival Time 27 | Turn Around Time 38723
Process 156 | Waiting Time 38723 | Burst Time 340 | Arrival Time 27 | Turn Around Time 39063
Process 157 | Waiting Time 39063 | Burst Time 216 | Arrival Time 27 | Turn Around Time 39279
Process 158 | Waiting Time 39279 | Burst Time 223 | Arrival Time 27 | Turn Around Time 39502
Process 159 | Waiting Time 39502 | Burst Time 338 | Arrival Time 27 | Turn Around Time 39840
Process 160 | Waiting Time 39840 | Burst Time 211 | Arrival Time 27 | Turn Around Time 40051
Process 161 | Waiting Time 40051 | Burst Time 194 | Arrival Time 27 | Turn Around Time 40245
Process 162 | Waiting Time 40246 | Burst Time 239 | Arrival Time 26 | Turn Around Time 40485
Process 163 | Waiting Time 40485 | Burst Time 279 | Arrival Time 26 | Turn Around Time 40764
Process 164 | Waiting Time 40764 | Burst Time 202 | Arrival Time 26 | Turn Around Time 40966
Process 165 | Waiting Time 40966 | Burst Time 211 | Arrival Time 26 | Turn Around Time 41177
Process 166 | Waiting Time 41177 | Burst Time 348 | Arrival Time 26 | Turn Around Time 41525
Process 167 | Waiting Time 41525 | Burst Time 244 | Arrival Time 26 | Turn Around Time 41769
Process 168 | Waiting Time 41769 | Burst Time 215 | Arrival Time 26 | Turn Around Time 41984
Process 169 | Waiting Time 41984 | Burst Time 266 | Arrival Time 26 | Turn Around Time 42250
Process 170 | Waiting Time 42250 | Burst Time 250 | Arrival Time 26 | Turn Around Time 42500
Process 171 | Waiting Time 42500 | Burst Time 238 | Arrival Time 26 | Turn Around Time 42738
Process 172 | Waiting Time 42739 | Burst Time 216 | Arrival Time 25 | Turn Around Time 42955
Process 173 | Waiting Time 42955 | Burst Time 306 | Arrival Time 25 | Turn Around Time 43261
Process 174 | Waiting Time 43261 | Burst Time 309 | Arrival Time 25 | Turn Around Time 43570
Process 175 | Waiting Time 43570 | Burst Time 232 | Arrival Time 25 | Turn Around Time 43802
Process 176 | Waiting Time 43802 | Burst Time 311 | Arrival Time 25 | Turn Around Time 44113
Process 177 | Waiting Time 44113 | Burst Time 376 | Arrival Time 25 | Turn Around Time 44489
Process 178 | Waiting Time 44489 | Burst Time 316 | Arrival Time 25 | Turn Around Time 44805
Process 179 | Waiting Time 44805 | Burst Time 264 | Arrival Time 25 | Turn Around Time 45069
Process 180 | Waiting Time 45069 | Burst Time 240 | Arrival Time 25 | Turn Around Time 45309
Process 181 | Waiting Time 45309 | Burst Time 262 | Arrival Time 25 | Turn Around Time 45571
Process 182 | Waiting Time 45571 | Burst Time 227 | Arrival Time 25 | Turn Around Time 45798
Process 183 | Waiting Time 45798 | Burst Time 352 | Arrival Time 25 | Turn Around Time 46150
Process 184 | Waiting Time 46150 | Burst Time 271 | Arrival Time 25 | Turn Around Time 46421
Process 185 | Waiting Time 46421 | Burst Time 278 | Arrival Time 25 | Turn Around Time 46699
Process 186 | Waiting Time 46699 | Burst Time 322 | Arrival Time 25 | Turn Around Time 47021
Process 187 | Waiting Time 47021 | Burst Time 213 | Arrival Time 25 | Turn Around Time 47234
Process 188 | Waiting Time 47234 | Burst Time 279 | Arrival Time 25 | Turn Around Time 47513
Process 189 | Waiting Time 47514 | Burst Time 235 | Arrival Time 24 | Turn Around Time 47749
Process 190 | Waiting Time 47749 | Burst Time 265 | Arrival Time 24 | Turn Around Time 48014
Process 191 | Waiting Time 48014 | Burst Time 182 | Arrival Time 24 | Turn Around Time 48196
Process 192 | Waiting Time 48196 | Burst Time 228 | Arrival Time 24 | Turn Around Time 48424
Process 193 | Waiting Time 48424 | Burst Time 296 | Arrival Time 24 | Turn Around Time 48720
Process 194 | Waiting Time 48720 | Burst Time 235 | Arrival Time 24 | Turn Around Time 48955
Process 195 | Waiting Time 48955 | Burst Time 213 | Arrival Time 24 | Turn Around Time 49168
Process 196 | Waiting Time 49168 | Burst Time 290 | Arrival Time 24 | Turn Around Time 49458
Process 197 | Waiting Time 49458 | Burst Time 240 | Arrival Time 24 | Turn Around Time 49698
Process 198 | Waiting Time 49698 | Burst Time 240 | Arrival Time 24 | Turn Around Time 49938
Process 199 | Waiting Time 49938 | Burst Time 228 | Arrival Time 24 | Turn Around Time 50166
Process 200 | Waiting Time 50166 | Burst Time 244 | Arrival Time 24 | Turn Around Time 50410
Process 201 | Waiting Time 50410 | Burst Time 171 | Arrival Time 24 | Turn Around Time 50581
Process 202 | Waiting Time 50582 | Burst Time 295 | Arrival Time 23 | Turn Around Time 50877
Process 203 | Waiting Time 50877 | Burst Time 264 | Arrival Time 23 | Turn Around Time 51141
Process 204 | Waiting Time 51141 | Burst Time 231 | Arrival Time 23 | Turn Around Time 51372
Process 205 | Waiting Time 51372 | Burst Time 299 | Arrival Time 23 | Turn Around Time 51671
Process 206 | Waiting Time 51671 | Burst Time 293 | Arrival Time 23 | Turn Around Time 51964
Process 207 | Waiting Time 51964 | Burst Time 272 | Arrival Time 23 | Turn Around Time 52236
Process 208 | Waiting Time 52236 | Burst Time 138 | Arrival Time 23 | Turn Around Time 52374
Process 209 | Waiting Time 52375 | Burst Time 280 | Arrival Time 22 | Turn Around Time 52655
Process 210 | Waiting Time 52655 | Burst Time 283 | Arrival Time 22 | Turn Around Time 52938
Process 211 | Waiting Time 52938 | Burst Time 346 | Arrival Time 22 | Turn Around Time 53284
Process 212 | Waiting Time 53284 | Burst Time 236 | Arrival Time 22 | Turn Around Time 53520
Process 213 | Waiting Time 53520 | Burst Time 309 | Arrival Time 22 | Turn Around Time 53829
Process 214 | Waiting Time 53829 | Burst Time 152 | Arrival Time 22 | Turn Around Time 53981
Process 215 | Waiting Time 53981 | Burst Time 296 | Arrival Time 22 | Turn Around Time 54277
Process 216 | Waiting Time 54277 | Burst Time 268 | Arrival Time 22 | Turn Around Time 54545
Process 217 | Waiting Time 54545 | Burst Time 267 | Arrival Time 22 | Turn Around Time 54812
Process 218 | Waiting Time 54812 | Burst Time 304 | Arrival Time 22 | Turn Around Time 55116
Process 219 | Waiting Time 55116 | Burst Time 229 | Arrival Time 22 | Turn Around Time 55345
Process 220 | Waiting Time 55346 | Burst Time 207 | Arrival Time 21 | Turn Around Time 55553
Process 221 | Waiting Time 55553 | Burst Time 280 | Arrival Time 21 | Turn Around Time 55833
Process 222 | Waiting Time 55833 | Burst Time 252 | Arrival Time 21 | Turn Around Time 56085
Process 223 | Waiting Time 56085 | Burst Time 274 | Arrival Time 21 | Turn Around Time 56359
Process 224 | Waiting Time 56359 | Burst Time 327 | Arrival Time 21 | Turn Around Time 56686
Process 225 | Waiting Time 56686 | Burst Time 255 | Arrival Time 21 | Turn Around Time 56941
Process 226 | Waiting Time 56941 | Burst Time 264 | Arrival Time 21 | Turn Around Time 57205
Process 227 | Waiting Time 57205 | Burst Time 313 | Arrival Time 21 | Turn Around Time 57518
Process 228 | Waiting Time 57518 | Burst Time 227 | Arrival Time 21 | Turn Around Time 57745
Process 229 | Waiting Time 57746 | Burst Time 233 | Arrival Time 20 | Turn Around Time 57979
Process 230 | Waiting Time 57979 | Burst Time 279 | Arrival Time 20 | Turn Around Time 58258
Process 231 | Waiting Time 58258 | Burst Time 332 | Arrival Time 20 | Turn Around Time 58590
Process 232 | Waiting Time 58590 | Burst Time 355 | Arrival Time 20 | Turn Around Time 58945
Process 233 | Waiting Time 58945 | Burst Time 246 | Arrival Time 20 | Turn Around Time 59191
Process 234 | Waiting Time 59191 | Burst Time 293 | Arrival Time 20 | Turn Around Time 59484
Process 235 | Waiting Time 59484 | Burst Time 128 | Arrival Time 20 | Turn Around Time 59612
Process 236 | Waiting Time 59612 | Burst Time 189 | Arrival Time 20 | Turn Around Time 59801
Process 237 | Waiting Time 59801 | Burst Time 110 | Arrival Time 20 | Turn Around Time 59911
Process 238 | Waiting Time 59911 | Burst Time 197 | Arrival Time 20 | Turn Around Time 60108
Process 239 | Waiting Time 60108 | Burst Time 250 | Arrival Time 20 | Turn Around Time 60358
Process 240 | Waiting Time 60358 | Burst Time 273 | Arrival Time 20 | Turn Around Time 60631
Process 241 | Waiting Time 60631 | Burst Time 296 | Arrival Time 20 | Turn Around Time 60927
Process 242 | Waiting Time 60927 | Burst Time 305 | Arrival Time 20 | Turn Around Time 61232
Process 243 | Waiting Time 61233 | Burst Time 219 | Arrival Time 19 | Turn Around Time 61452
Process 244 | Waiting Time 61452 | Burst Time 241 | Arrival Time 19 | Turn Around Time 61693
Process 245 | Waiting Time 61693 | Burst Time 275 | Arrival Time 19 | Turn Around Time 61968
Process 246 | Waiting Time 61968 | Burst Time 234 | Arrival Time 19 | Turn Around Time 62202
Process 247 | Waiting Time 62202 | Burst Time 264 | Arrival Time 19 | Turn Around Time 62466
Process 248 | Waiting Time 62466 | Burst Time 253 | Arrival Time 19 | Turn Around Time 62719
Process 249 | Waiting Time 62719 | Burst Time 144 | Arrival Time 19 | Turn Around Time 62863
Process 250 | Waiting Time 62863 | Burst Time 286 | Arrival Time 19 | Turn Around Time 63149
Process 251 | Waiting Time 63149 | Burst Time 292 | Arrival Time 19 | Turn Around Time 63441
Process 252 | Waiting Time 63441 | Burst Time 307 | Arrival Time 19 | Turn Around Time 63748
Process 253 | Waiting Time 63748 | Burst Time 339 | Arrival Time 19 | Turn Around Time 64087
Process 254 | Waiting Time 64087 | Burst Time 276 | Arrival Time 19 | Turn Around Time 64363
Process 255 | Waiting Time 64364 | Burst Time 232 | Arrival Time 18 | Turn Around Time 64596
Process 256 | Waiting Time 64596 | Burst Time 312 | Arrival Time 18 | Turn Around Time 64908
Process 257 | Waiting Time 64908 | Burst Time 291 | Arrival Time 18 | Turn Around Time 65199
Process 258 | Waiting Time 65199 | Burst Time 239 | Arrival Time 18 | Turn Around Time 65438
Process 259 | Waiting Time 65438 | Burst Time 240 | Arrival Time 18 | Turn Around Time 65678
Process 260 | Waiting Time 65678 | Burst Time 347 | Arrival Time 18 | Turn Around Time 66025
Process 261 | Waiting Time 66025 | Burst Time 291 | Arrival Time 18 | Turn Around Time 66316
Process 262 | Waiting Time 66316 | Burst Time 249 | Arrival Time 18 | Turn Around Time 66565
Process 263 | Waiting Time 66565 | Burst Time 331 | Arrival Time 18 | Turn Around Time 66896
Process 264 | Waiting Time 66896 | Burst Time 251 | Arrival Time 18 | Turn Around Time 67147
Process 265 | Waiting Time 67147 | Burst Time 248 | Arrival Time 18 | Turn Around Time 67395
Process 266 | Waiting Time 67395 | Burst Time 215 | Arrival Time 18 | Turn Around Time 67610
Process 267 | Waiting Time 67611 | Burst Time 307 | Arrival Time 17 | Turn Around Time 67918
Process 268 | Waiting Time 67918 | Burst Time 276 | Arrival Time 17 | Turn Around Time 68194
Process 269 | Waiting Time 68194 | Burst Time 238 | Arrival Time 17 | Turn Around Time 68432
Process 270 | Waiting Time 68432 | Burst Time 289 | Arrival Time 17 | Turn Around Time 68721
Process 271 | Waiting Time 68721 | Burst Time 221 | Arrival Time 17 | Turn Around Time 68942
Process 272 | Waiting Time 68942 | Burst Time 190 | Arrival Time 17 | Turn Around Time 69132
Process 273 | Waiting Time 69132 | Burst Time 206 | Arrival Time 17 | Turn Around Time 69338
Process 274 | Waiting Time 69338 | Burst Time 279 | Arrival Time 17 | Turn Around Time 69617
Process 275 | Waiting Time 69617 | Burst Time 263 | Arrival Time 17 | Turn Around Time 69880
Process 276 | Waiting Time 69880 | Burst Time 260 | Arrival Time 17 | Turn Around Time 70140
Process 277 | Waiting Time 70140 | Burst Time 202 | Arrival Time 17 | Turn Around Time 70342
Process 278 | Waiting Time 70342 | Burst Time 152 | Arrival Time 17 | Turn Around Time 70494
Process 279 | Waiting Time 70494 | Burst Time 226 | Arrival Time 17 | Turn Around Time 70720
Process 280 | Waiting Time 70720 | Burst Time 229 | Arrival Time 17 | Turn Around Time 70949
Process 281 | Waiting Time 70949 | Burst Time 356 | Arrival Time 17 | Turn Around Time 71305
Process 282 | Waiting Time 71305 | Burst Time 283 | Arrival Time 17 | Turn Around Time 71588
Process 283 | Waiting Time 71588 | Burst Time 204 | Arrival Time 17 | Turn Around Time 71792
Process 284 | Waiting Time 71792 | Burst Time 218 | Arrival Time 17 | Turn Around Time 72010
Process 285 | Waiting Time 72010 | Burst Time 240 | Arrival Time 17 | Turn Around Time 72250
Process 286 | Waiting Time 72251 | Burst Time 215 | Arrival Time 16 | Turn Around Time 72466
Process 287 | Waiting Time 72466 | Burst Time 215 | Arrival Time 16 | Turn Around Time 72681
Process 288 | Waiting Time 72681 | Burst Time 252 | Arrival Time 16 | Turn Around Time 72933
Process 289 | Waiting Time 72933 | Burst Time 244 | Arrival Time 16 | Turn Around Time 73177
Process 290 | Waiting Time 73177 | Burst Time 301 | Arrival Time 16 | Turn Around Time 73478
Process 291 | Waiting Time 73478 | Burst Time 282 | Arrival Time 16 | Turn Around Time 73760
Process 292 | Waiting Time 73760 | Burst Time 244 | Arrival Time 16 | Turn Around Time 74004
