# seed = 1 mean = 50 standard_deviation = 10 number_of_pages = 250
Capacity of LRU = 5
------------------------------------------------------------
Page Faults = 205
Page Hits = 45
------------------------------------------------------------
[66] <-- Page - 66 | Page Fault Here
[66, 43] <-- Page - 43 | Page Fault Here
[66, 43, 44] <-- Page - 44 | Page Fault Here
[66, 43, 44, 39] <-- Page - 39 | Page Fault Here
[41, 42, 66, 50, 43] <-- Page - 43 | Page Fault Here
[42, 66, 50, 43, 51] <-- Page - 51 | Page Fault Here
[66, 50, 43, 51, 71] <-- Page - 71 | Page Fault Here
[66, 50, 43, 71, 51] <-- Page - 51
[50, 43, 71, 51, 56] <-- Page - 56 | Page Fault Here
[43, 71, 51, 56, 53] <-- Page - 53 | Page Fault Here
[71, 51, 56, 53, 46] <-- Page - 46 | Page Fault Here
[51, 56, 53, 46, 38] <-- Page - 38 | Page Fault Here
[51, 56, 53, 38, 46] <-- Page - 46
[56, 53, 38, 46, 47] <-- Page - 47 | Page Fault Here
[53, 38, 46, 47, 55] <-- Page - 55 | Page Fault Here
[38, 46, 47, 55, 58] <-- Page - 58 | Page Fault Here
[46, 47, 55, 58, 59] <-- Page - 59 | Page Fault Here
[47, 55, 58, 59, 52] <-- Page - 52 | Page Fault Here
[47, 55, 59, 52, 58] <-- Page - 58
[55, 59, 52, 58, 42] <-- Page - 42 | Page Fault Here
[59, 52, 58, 42, 62] <-- Page - 62 | Page Fault Here
[52, 58, 42, 62, 55] <-- Page - 55 | Page Fault Here
[58, 42, 62, 55, 47] <-- Page - 47 | Page Fault Here
[42, 62, 55, 47, 54] <-- Page - 54 | Page Fault Here
[62, 55, 47, 54, 49] <-- Page - 49 | Page Fault Here
[55, 47, 54, 49, 61] <-- Page - 61 | Page Fault Here
[47, 54, 49, 61, 65] <-- Page - 65 | Page Fault Here
[54, 49, 61, 65, 71] <-- Page - 71 | Page Fault Here
[49, 61, 65, 71, 36] <-- Page - 36 | Page Fault Here
[61, 65, 71, 36, 35] <-- Page - 35 | Page Fault Here
[65, 71, 36, 35, 44] <-- Page - 44 | Page Fault Here
[71, 36, 35, 44, 51] <-- Page - 51 | Page Fault Here
[36, 35, 44, 51, 58] <-- Page - 58 | Page Fault Here
[35, 44, 51, 58, 53] <-- Page - 53 | Page Fault Here
[44, 51, 58, 53, 29] <-- Page - 29 | Page Fault Here
[51, 58, 53, 29, 46] <-- Page - 46 | Page Fault Here
[51, 53, 29, 46, 58] <-- Page - 58
[53, 29, 46, 58, 52] <-- Page - 52 | Page Fault Here
[29, 46, 58, 52, 57] <-- Page - 57 | Page Fault Here
[46, 58, 52, 57, 47] <-- Page - 47 | Page Fault Here
[46, 58, 52, 57, 47] <-- Page - 47
[58, 52, 57, 47, 51] <-- Page - 51 | Page Fault Here
[52, 57, 47, 51, 54] <-- Page - 54 | Page Fault Here
[52, 57, 47, 54, 51] <-- Page - 51
[52, 57, 47, 54, 51] <-- Page - 51
[57, 47, 54, 51, 43] <-- Page - 43 | Page Fault Here
[47, 54, 51, 43, 53] <-- Page - 53 | Page Fault Here
[47, 54, 43, 53, 51] <-- Page - 51
[54, 43, 53, 51, 61] <-- Page - 61 | Page Fault Here
[54, 43, 53, 51, 61] <-- Page - 61
[54, 43, 53, 61, 51] <-- Page - 51
[43, 53, 61, 51, 46] <-- Page - 46 | Page Fault Here
[53, 61, 51, 46, 43] <-- Page - 43
[61, 51, 46, 43, 54] <-- Page - 54 | Page Fault Here
[51, 46, 43, 54, 50] <-- Page - 50 | Page Fault Here
[51, 43, 54, 50, 46] <-- Page - 46
[51, 43, 54, 46, 50] <-- Page - 50
[51, 54, 46, 50, 43] <-- Page - 43
[54, 46, 50, 43, 56] <-- Page - 56 | Page Fault Here
[46, 50, 43, 56, 45] <-- Page - 45 | Page Fault Here
[50, 43, 56, 45, 62] <-- Page - 62 | Page Fault Here
[43, 56, 45, 62, 54] <-- Page - 54 | Page Fault Here
[56, 45, 62, 54, 55] <-- Page - 55 | Page Fault Here
[45, 62, 54, 55, 39] <-- Page - 39 | Page Fault Here
[62, 54, 55, 39, 51] <-- Page - 51 | Page Fault Here
[54, 55, 39, 51, 57] <-- Page - 57 | Page Fault Here
[55, 39, 51, 57, 40] <-- Page - 40 | Page Fault Here
[39, 51, 57, 40, 47] <-- Page - 47 | Page Fault Here
[51, 57, 40, 47, 50] <-- Page - 50 | Page Fault Here
[57, 40, 47, 50, 36] <-- Page - 36 | Page Fault Here
[40, 47, 50, 36, 53] <-- Page - 53 | Page Fault Here
[47, 50, 36, 53, 58] <-- Page - 58 | Page Fault Here
[50, 36, 53, 58, 41] <-- Page - 41 | Page Fault Here
[50, 36, 58, 41, 53] <-- Page - 53
[50, 58, 41, 53, 36] <-- Page - 36
[58, 41, 53, 36, 49] <-- Page - 49 | Page Fault Here
[41, 53, 36, 49, 33] <-- Page - 33 | Page Fault Here
[53, 36, 49, 33, 61] <-- Page - 61 | Page Fault Here
[36, 49, 33, 61, 54] <-- Page - 54 | Page Fault Here
[36, 33, 61, 54, 49] <-- Page - 49
[33, 61, 54, 49, 42] <-- Page - 42 | Page Fault Here
[61, 54, 49, 42, 62] <-- Page - 62 | Page Fault Here
[54, 49, 42, 62, 69] <-- Page - 69 | Page Fault Here
[49, 42, 62, 69, 31] <-- Page - 31 | Page Fault Here
[49, 42, 69, 31, 62] <-- Page - 62
[42, 69, 31, 62, 66] <-- Page - 66 | Page Fault Here
[69, 31, 62, 66, 53] <-- Page - 53 | Page Fault Here
[31, 62, 66, 53, 38] <-- Page - 38 | Page Fault Here
[62, 66, 53, 38, 58] <-- Page - 58 | Page Fault Here
[66, 53, 38, 58, 48] <-- Page - 48 | Page Fault Here
[53, 38, 58, 48, 43] <-- Page - 43 | Page Fault Here
[38, 58, 48, 43, 37] <-- Page - 37 | Page Fault Here
[58, 48, 43, 37, 55] <-- Page - 55 | Page Fault Here
[48, 43, 37, 55, 57] <-- Page - 57 | Page Fault Here
[48, 37, 55, 57, 43] <-- Page - 43
[48, 37, 57, 43, 55] <-- Page - 55
[37, 57, 43, 55, 38] <-- Page - 38 | Page Fault Here
[57, 43, 55, 38, 58] <-- Page - 58 | Page Fault Here
[43, 55, 38, 58, 50] <-- Page - 50 | Page Fault Here
[55, 38, 58, 50, 48] <-- Page - 48 | Page Fault Here
[55, 38, 58, 50, 48] <-- Page - 48
[55, 38, 50, 48, 58] <-- Page - 58
[38, 50, 48, 58, 57] <-- Page - 57 | Page Fault Here
[50, 48, 58, 57, 55] <-- Page - 55 | Page Fault Here
[48, 58, 57, 55, 51] <-- Page - 51 | Page Fault Here
[58, 57, 55, 51, 50] <-- Page - 50 | Page Fault Here
[57, 55, 51, 50, 56] <-- Page - 56 | Page Fault Here
[55, 51, 50, 56, 52] <-- Page - 52 | Page Fault Here
[55, 51, 50, 52, 56] <-- Page - 56
[51, 50, 52, 56, 46] <-- Page - 46 | Page Fault Here
[50, 52, 56, 46, 25] <-- Page - 25 | Page Fault Here
[52, 56, 46, 25, 60] <-- Page - 60 | Page Fault Here
[56, 46, 25, 60, 71] <-- Page - 71 | Page Fault Here
[46, 25, 60, 71, 54] <-- Page - 54 | Page Fault Here
[25, 60, 71, 54, 48] <-- Page - 48 | Page Fault Here
[25, 60, 71, 54, 48] <-- Page - 48
[25, 60, 71, 54, 48] <-- Page - 48
[60, 71, 54, 48, 50] <-- Page - 50 | Page Fault Here
[71, 54, 48, 50, 38] <-- Page - 38 | Page Fault Here
[54, 48, 50, 38, 44] <-- Page - 44 | Page Fault Here
[48, 50, 38, 44, 40] <-- Page - 40 | Page Fault Here
[50, 38, 44, 40, 52] <-- Page - 52 | Page Fault Here
[38, 44, 40, 52, 47] <-- Page - 47 | Page Fault Here
[44, 40, 52, 47, 54] <-- Page - 54 | Page Fault Here
[40, 52, 47, 54, 48] <-- Page - 48 | Page Fault Here
[52, 47, 54, 48, 59] <-- Page - 59 | Page Fault Here
[47, 54, 48, 59, 52] <-- Page - 52
[54, 48, 59, 52, 71] <-- Page - 71 | Page Fault Here
[48, 59, 52, 71, 31] <-- Page - 31 | Page Fault Here
[59, 52, 71, 31, 43] <-- Page - 43 | Page Fault Here
[52, 71, 31, 43, 59] <-- Page - 59
[71, 31, 43, 59, 75] <-- Page - 75 | Page Fault Here
[31, 43, 59, 75, 47] <-- Page - 47 | Page Fault Here
[43, 59, 75, 47, 50] <-- Page - 50 | Page Fault Here
[43, 59, 75, 50, 47] <-- Page - 47
[59, 75, 50, 47, 63] <-- Page - 63 | Page Fault Here
[59, 75, 50, 63, 47] <-- Page - 47
[75, 50, 63, 47, 56] <-- Page - 56 | Page Fault Here
[50, 63, 47, 56, 46] <-- Page - 46 | Page Fault Here
[63, 47, 56, 46, 37] <-- Page - 37 | Page Fault Here
[47, 56, 46, 37, 53] <-- Page - 53 | Page Fault Here
[56, 46, 37, 53, 55] <-- Page - 55 | Page Fault Here
[46, 37, 53, 55, 62] <-- Page - 62 | Page Fault Here
[37, 53, 55, 62, 48] <-- Page - 48 | Page Fault Here
[53, 55, 62, 48, 43] <-- Page - 43 | Page Fault Here
[53, 62, 48, 43, 55] <-- Page - 55
[62, 48, 43, 55, 52] <-- Page - 52 | Page Fault Here
[62, 48, 43, 55, 52] <-- Page - 52
[48, 43, 55, 52, 49] <-- Page - 49 | Page Fault Here
[43, 55, 52, 49, 61] <-- Page - 61 | Page Fault Here
[55, 52, 49, 61, 53] <-- Page - 53 | Page Fault Here
[52, 49, 61, 53, 69] <-- Page - 69 | Page Fault Here
[52, 49, 53, 69, 61] <-- Page - 61
[49, 53, 69, 61, 56] <-- Page - 56 | Page Fault Here
[53, 69, 61, 56, 33] <-- Page - 33 | Page Fault Here
[53, 69, 61, 33, 56] <-- Page - 56
[69, 61, 33, 56, 54] <-- Page - 54 | Page Fault Here
[61, 33, 56, 54, 58] <-- Page - 58 | Page Fault Here
[33, 56, 54, 58, 60] <-- Page - 60 | Page Fault Here
[56, 54, 58, 60, 45] <-- Page - 45 | Page Fault Here
[56, 54, 60, 45, 58] <-- Page - 58
[54, 60, 45, 58, 44] <-- Page - 44 | Page Fault Here
[60, 45, 58, 44, 69] <-- Page - 69 | Page Fault Here
[45, 58, 44, 69, 36] <-- Page - 36 | Page Fault Here
[58, 44, 69, 36, 32] <-- Page - 32 | Page Fault Here
[44, 69, 36, 32, 33] <-- Page - 33 | Page Fault Here
[69, 36, 32, 33, 41] <-- Page - 41 | Page Fault Here
[36, 32, 33, 41, 38] <-- Page - 38 | Page Fault Here
[32, 33, 41, 38, 69] <-- Page - 69 | Page Fault Here
[33, 41, 38, 69, 46] <-- Page - 46 | Page Fault Here
[41, 38, 69, 46, 36] <-- Page - 36 | Page Fault Here
[38, 69, 46, 36, 61] <-- Page - 61 | Page Fault Here
[69, 46, 36, 61, 44] <-- Page - 44 | Page Fault Here
[46, 36, 61, 44, 37] <-- Page - 37 | Page Fault Here
[36, 61, 44, 37, 58] <-- Page - 58 | Page Fault Here
[61, 44, 37, 58, 56] <-- Page - 56 | Page Fault Here
[44, 37, 58, 56, 45] <-- Page - 45 | Page Fault Here
[37, 58, 56, 45, 64] <-- Page - 64 | Page Fault Here
[58, 56, 45, 64, 51] <-- Page - 51 | Page Fault Here
[56, 45, 64, 51, 66] <-- Page - 66 | Page Fault Here
[45, 64, 51, 66, 55] <-- Page - 55 | Page Fault Here
[64, 51, 66, 55, 65] <-- Page - 65 | Page Fault Here
[64, 66, 55, 65, 51] <-- Page - 51
[66, 55, 65, 51, 37] <-- Page - 37 | Page Fault Here
[55, 65, 51, 37, 74] <-- Page - 74 | Page Fault Here
[65, 51, 37, 74, 44] <-- Page - 44 | Page Fault Here
[51, 37, 74, 44, 48] <-- Page - 48 | Page Fault Here
[37, 74, 44, 48, 42] <-- Page - 42 | Page Fault Here
[74, 44, 48, 42, 47] <-- Page - 47 | Page Fault Here
[44, 48, 42, 47, 52] <-- Page - 52 | Page Fault Here
[44, 48, 42, 47, 52] <-- Page - 52
[48, 42, 47, 52, 56] <-- Page - 56 | Page Fault Here
[42, 47, 52, 56, 67] <-- Page - 67 | Page Fault Here
[47, 52, 56, 67, 48] <-- Page - 48 | Page Fault Here
[52, 56, 67, 48, 37] <-- Page - 37 | Page Fault Here
[56, 67, 48, 37, 38] <-- Page - 38 | Page Fault Here
[67, 48, 37, 38, 43] <-- Page - 43 | Page Fault Here
[48, 37, 38, 43, 33] <-- Page - 33 | Page Fault Here
[37, 38, 43, 33, 58] <-- Page - 58 | Page Fault Here
[38, 43, 33, 58, 45] <-- Page - 45 | Page Fault Here
[43, 33, 58, 45, 46] <-- Page - 46 | Page Fault Here
[33, 58, 45, 46, 49] <-- Page - 49 | Page Fault Here
[58, 45, 46, 49, 36] <-- Page - 36 | Page Fault Here
[45, 46, 49, 36, 41] <-- Page - 41 | Page Fault Here
[46, 49, 36, 41, 56] <-- Page - 56 | Page Fault Here
[46, 49, 36, 41, 56] <-- Page - 56
[49, 36, 41, 56, 45] <-- Page - 45 | Page Fault Here
[36, 41, 56, 45, 68] <-- Page - 68 | Page Fault Here
[41, 56, 45, 68, 36] <-- Page - 36
------------------------------------------------------------
